"DATE","RCONS10M1","RCONS10M2","RCONS10M3","RCONS10M4","RCONS10M5","RCONS10M6","RCONS10M7","RCONS10M8","RCONS10M9","RCONS10M10","RCONS10M11","RCONS10M12","RCONS11M1","RCONS11M2","RCONS11M3","RCONS11M4","RCONS11M5","RCONS11M6","RCONS11M7","RCONS11M8","RCONS11M9","RCONS11M10","RCONS11M11","RCONS11M12","RCONS12M1","RCONS12M2","RCONS12M3","RCONS12M4","RCONS12M5","RCONS12M6","RCONS12M7","RCONS12M8","RCONS12M9","RCONS12M10","RCONS12M11","RCONS12M12","RCONS13M1","RCONS13M2","RCONS13M3","RCONS13M4","RCONS13M5","RCONS13M6","RCONS13M7","RCONS13M8","RCONS13M9","RCONS13M10","RCONS13M11","RCONS13M12","RCONS14M1","RCONS14M2","RCONS14M3","RCONS14M4","RCONS14M5","RCONS14M6","RCONS14M7","RCONS14M8","RCONS14M9","RCONS14M10","RCONS14M11","RCONS14M12","RCONS15M1","RCONS15M2","RCONS15M3","RCONS15M4","RCONS15M5","RCONS15M6","RCONS15M7","RCONS15M8","RCONS15M9","RCONS15M10","RCONS15M11"
"1980:Q2","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2568.6","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2571.0","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1","2762.1"
"1980:Q3","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2597.1","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2599.5","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0","2793.0"
"1980:Q4","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2636.1","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2638.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3","2834.3"
"1981:Q1","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2625.9","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2633.5","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2828.0","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9","2827.9"
"1981:Q2","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2643.3","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2650.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8"
"1981:Q3","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2641.2","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2648.6","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.3","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2","2843.2"
"1981:Q4","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2643.2","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2650.8","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.9","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8","2845.8"
"1982:Q1","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2653.3","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2660.5","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1","2857.1"
"1982:Q2","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2670.6","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.5","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4","2876.4"
"1982:Q3","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2695.8","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2703.2","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9","2903.9"
"1982:Q4","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2740.9","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2748.4","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5","2952.5"
"1983:Q1","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2776.9","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2784.5","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.9","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8","2990.8"
"1983:Q2","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2812.5","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","2820.0","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.8","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7","3028.7"
