"DATE","P65M11","P65M12","P66M1","P66M2","P66M3","P66M4","P66M5","P66M6","P66M7","P66M8","P66M9","P66M10","P66M11","P66M12","P67M1","P67M2","P67M3","P67M4","P67M5","P67M6","P67M7","P67M8","P67M9","P67M10","P67M11","P67M12","P68M1","P68M2","P68M3","P68M4","P68M5","P68M6","P68M7","P68M8","P68M9","P68M10","P68M11","P68M12","P69M1","P69M2","P69M3","P69M4","P69M5","P69M6","P69M7","P69M8","P69M9","P69M10","P69M11","P69M12"
"1952:Q2","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038","87.038"
"1952:Q3","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738","87.738"
"1952:Q4","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556","88.2556"
"1953:Q1","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766","88.3766"
"1953:Q2","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565","88.2565"
"1953:Q3","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216","88.4216"
"1953:Q4","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583","88.2583"
"1954:Q1","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259","89.5259"
"1954:Q2","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294","89.6294"
"1954:Q3","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629","89.5629"
"1954:Q4","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244","89.8244"
"1955:Q1","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336","90.2336"
"1955:Q2","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834","90.5834"
"1955:Q3","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428","91.0428"
"1955:Q4","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771","91.5771"
"1956:Q1","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609","92.5609"
"1956:Q2","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022","93.4022"
"1956:Q3","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232","94.6232"
"1956:Q4","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809","95.3809"
"1957:Q1","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608","96.3608"
"1957:Q2","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653","97.0653"
"1957:Q3","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448","98.0448"
"1957:Q4","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051","98.5051"
