"DATE","NCPROFATW81Q1","NCPROFATW81Q2","NCPROFATW81Q3","NCPROFATW81Q4","NCPROFATW82Q1","NCPROFATW82Q2","NCPROFATW82Q3","NCPROFATW82Q4","NCPROFATW83Q1","NCPROFATW83Q2","NCPROFATW83Q3","NCPROFATW83Q4","NCPROFATW84Q1","NCPROFATW84Q2","NCPROFATW84Q3","NCPROFATW84Q4","NCPROFATW85Q1","NCPROFATW85Q2","NCPROFATW85Q3","NCPROFATW85Q4","NCPROFATW86Q1","NCPROFATW86Q2","NCPROFATW86Q3","NCPROFATW86Q4","NCPROFATW87Q1","NCPROFATW87Q2","NCPROFATW87Q3","NCPROFATW87Q4","NCPROFATW88Q1","NCPROFATW88Q2","NCPROFATW88Q3","NCPROFATW88Q4","NCPROFATW89Q1","NCPROFATW89Q2","NCPROFATW89Q3","NCPROFATW89Q4","NCPROFATW90Q1","NCPROFATW90Q2","NCPROFATW90Q3","NCPROFATW90Q4","NCPROFATW91Q1","NCPROFATW91Q2","NCPROFATW91Q3","NCPROFATW91Q4","NCPROFATW92Q1","NCPROFATW92Q2","NCPROFATW92Q3","NCPROFATW92Q4","NCPROFATW93Q1","NCPROFATW93Q2","NCPROFATW93Q3","NCPROFATW93Q4","NCPROFATW94Q1","NCPROFATW94Q2","NCPROFATW94Q3","NCPROFATW94Q4","NCPROFATW95Q1","NCPROFATW95Q2","NCPROFATW95Q3","NCPROFATW95Q4","NCPROFATW96Q1","NCPROFATW96Q2","NCPROFATW96Q3","NCPROFATW96Q4","NCPROFATW97Q1","NCPROFATW97Q2","NCPROFATW97Q3","NCPROFATW97Q4","NCPROFATW98Q1","NCPROFATW98Q2","NCPROFATW98Q3","NCPROFATW98Q4","NCPROFATW99Q1","NCPROFATW99Q2","NCPROFATW99Q3","NCPROFATW99Q4","NCPROFATW00Q1","NCPROFATW00Q2","NCPROFATW00Q3","NCPROFATW00Q4","NCPROFATW01Q1","NCPROFATW01Q2","NCPROFATW01Q3","NCPROFATW01Q4","NCPROFATW02Q1","NCPROFATW02Q2","NCPROFATW02Q3","NCPROFATW02Q4","NCPROFATW03Q1","NCPROFATW03Q2","NCPROFATW03Q3","NCPROFATW03Q4","NCPROFATW04Q1","NCPROFATW04Q2","NCPROFATW04Q3","NCPROFATW04Q4","NCPROFATW05Q1","NCPROFATW05Q2","NCPROFATW05Q3","NCPROFATW05Q4","NCPROFATW06Q1","NCPROFATW06Q2","NCPROFATW06Q3","NCPROFATW06Q4","NCPROFATW07Q1","NCPROFATW07Q2","NCPROFATW07Q3","NCPROFATW07Q4","NCPROFATW08Q1","NCPROFATW08Q2","NCPROFATW08Q3","NCPROFATW08Q4","NCPROFATW09Q1","NCPROFATW09Q2","NCPROFATW09Q3","NCPROFATW09Q4","NCPROFATW10Q1","NCPROFATW10Q2","NCPROFATW10Q3","NCPROFATW10Q4","NCPROFATW11Q1","NCPROFATW11Q2","NCPROFATW11Q3","NCPROFATW11Q4","NCPROFATW12Q1","NCPROFATW12Q2","NCPROFATW12Q3","NCPROFATW12Q4","NCPROFATW13Q1","NCPROFATW13Q2","NCPROFATW13Q3","NCPROFATW13Q4","NCPROFATW14Q1","NCPROFATW14Q2","NCPROFATW14Q3","NCPROFATW14Q4","NCPROFATW15Q1","NCPROFATW15Q2"
"1958:Q4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","22.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","#N/A","#N/A","#N/A","#N/A","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","#N/A","#N/A","#N/A","#N/A","#N/A","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","#N/A","#N/A","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","28.1","#N/A","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3"
"1959:Q1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","25.0","25.0","25.0","25.0","25.0","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","28.8","28.8","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","#N/A","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8"
"1959:Q2","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","27.9","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","28.3","28.3","28.3","28.3","28.3","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","#N/A","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3"
"1959:Q3","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","26.1","26.1","26.1","26.1","26.1","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","29.3","29.3","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","29.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","#N/A","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","29.2","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1"
"1959:Q4","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","25.9","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","27.1","27.1","27.1","27.1","27.1","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","29.7","30.1","30.1","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","29.9","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","#N/A","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
"1960:Q1","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","28.2","28.2","28.2","28.2","28.2","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6","31.5","31.5","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","#N/A","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","33.5","33.5","33.5","33.5","33.5","33.5","33.5","33.5"
"1960:Q2","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","26.0","26.0","26.0","26.0","26.0","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","29.4","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","#N/A","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","30.1","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7"
"1960:Q3","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","26.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","27.8","25.6","25.6","25.6","25.6","25.6","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","29.4","29.4","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","30.7","#N/A","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","30.2","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8"
"1960:Q4","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","26.6","24.5","24.5","24.5","24.5","24.5","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","27.3","28.2","28.2","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","28.4","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","#N/A","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.0","30.6","30.6","30.6","30.6","30.6","30.6","30.6","30.6"
"1961:Q1","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","23.9","23.9","23.9","23.9","23.9","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","26.7","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","28.8","#N/A","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6"
"1961:Q2","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","27.5","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","28.6","26.8","26.8","26.8","26.8","26.8","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","30.4","30.4","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","#N/A","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","31.1","32.4","32.4","32.4","32.4","32.4","32.4","32.4","32.4"
"1961:Q3","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","28.2","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","27.8","27.8","27.8","27.8","27.8","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","30.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","31.4","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","#N/A","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9"
"1961:Q4","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","29.8","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","31.3","29.5","29.5","29.5","29.5","29.5","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","#N/A","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4"
"1962:Q1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","33.5","33.5","33.5","33.5","33.5","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","38.7","#N/A","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6"
"1962:Q2","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","34.7","32.9","32.9","32.9","32.9","32.9","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","38.2","#N/A","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9"
"1962:Q3","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","32.2","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.8","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","33.3","33.3","33.3","33.3","33.3","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","37.1","37.1","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","#N/A","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9"
"1962:Q4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","35.3","35.3","35.3","35.3","35.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","#N/A","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4"
"1963:Q1","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","34.4","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","35.9","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","35.4","35.4","35.4","35.4","35.4","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","39.5","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","40.8","#N/A","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","42.6","42.6","42.6","42.6","42.6","42.6","42.6","42.6"
"1963:Q2","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","37.2","37.2","37.2","37.2","37.2","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","41.2","41.2","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","#N/A","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0"
"1963:Q3","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","36.5","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","37.8","37.8","37.8","37.8","37.8","40.6","40.6","40.6","40.6","40.6","40.6","40.6","40.6","40.6","40.6","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","43.1","#N/A","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","44.7","44.7","44.7","44.7","44.7","44.7","44.7","44.7"
"1963:Q4","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","38.5","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","38.7","38.7","38.7","38.7","38.7","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","42.8","42.8","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","#N/A","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3","45.3"
