"DATE","RINVCHI10M1","RINVCHI10M2","RINVCHI10M3","RINVCHI10M4","RINVCHI10M5","RINVCHI10M6","RINVCHI10M7","RINVCHI10M8","RINVCHI10M9","RINVCHI10M10","RINVCHI10M11","RINVCHI10M12","RINVCHI11M1","RINVCHI11M2","RINVCHI11M3","RINVCHI11M4","RINVCHI11M5","RINVCHI11M6","RINVCHI11M7","RINVCHI11M8","RINVCHI11M9","RINVCHI11M10","RINVCHI11M11","RINVCHI11M12","RINVCHI12M1","RINVCHI12M2","RINVCHI12M3","RINVCHI12M4","RINVCHI12M5","RINVCHI12M6","RINVCHI12M7","RINVCHI12M8","RINVCHI12M9","RINVCHI12M10","RINVCHI12M11","RINVCHI12M12","RINVCHI13M1","RINVCHI13M2","RINVCHI13M3","RINVCHI13M4","RINVCHI13M5","RINVCHI13M6","RINVCHI13M7","RINVCHI13M8","RINVCHI13M9","RINVCHI13M10","RINVCHI13M11","RINVCHI13M12","RINVCHI14M1","RINVCHI14M2","RINVCHI14M3","RINVCHI14M4","RINVCHI14M5","RINVCHI14M6","RINVCHI14M7","RINVCHI14M8","RINVCHI14M9","RINVCHI14M10","RINVCHI14M11","RINVCHI14M12","RINVCHI15M1","RINVCHI15M2","RINVCHI15M3","RINVCHI15M4","RINVCHI15M5"
"2004:Q1","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","52.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4"
"2004:Q2","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9"
"2004:Q3","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","62.7","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1"
"2004:Q4","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","71.6","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2","76.2"
"2005:Q1","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3","111.3"
"2005:Q2","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","15.5","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0","33.0"
"2005:Q3","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","11.8","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2"
"2005:Q4","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","81.0","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8","94.8"
"2006:Q1","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","65.8","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6"
"2006:Q2","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","72.5","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4"
