"DATE","RCONHHM09M8","RCONHHM09M9","RCONHHM09M10","RCONHHM09M11","RCONHHM09M12","RCONHHM10M1","RCONHHM10M2","RCONHHM10M3","RCONHHM10M4","RCONHHM10M5","RCONHHM10M6","RCONHHM10M7","RCONHHM10M8","RCONHHM10M9","RCONHHM10M10","RCONHHM10M11","RCONHHM10M12","RCONHHM11M1","RCONHHM11M2","RCONHHM11M3","RCONHHM11M4","RCONHHM11M5","RCONHHM11M6","RCONHHM11M7","RCONHHM11M8","RCONHHM11M9","RCONHHM11M10","RCONHHM11M11","RCONHHM11M12","RCONHHM12M1","RCONHHM12M2","RCONHHM12M3","RCONHHM12M4","RCONHHM12M5","RCONHHM12M6","RCONHHM12M7","RCONHHM12M8","RCONHHM12M9","RCONHHM12M10","RCONHHM12M11","RCONHHM12M12","RCONHHM13M1","RCONHHM13M2","RCONHHM13M3","RCONHHM13M4","RCONHHM13M5","RCONHHM13M6","RCONHHM13M7","RCONHHM13M8","RCONHHM13M9","RCONHHM13M10","RCONHHM13M11","RCONHHM13M12","RCONHHM14M1","RCONHHM14M2","RCONHHM14M3","RCONHHM14M4","RCONHHM14M5","RCONHHM14M6","RCONHHM14M7","RCONHHM14M8","RCONHHM14M9","RCONHHM14M10","RCONHHM14M11","RCONHHM14M12","RCONHHM15M1","RCONHHM15M2","RCONHHM15M3","RCONHHM15M4","RCONHHM15M5"
"2009:07","#N/A","8958.212","8970.071","8969.18","8968.708","8963.352","8963.352","8963.352","8963.352","8963.352","8963.352","8963.352","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8880.26","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8751.302","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","8748.769","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9559.529","9561.68","9561.68","9561.68","9561.68","9561.68","9561.68","9561.68","9561.68","9561.68","9561.68"
"2009:08","#N/A","#N/A","9056.268","9064.394","9054.529","9046.855","9046.855","9046.855","9046.855","9046.855","9046.855","9046.855","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8957.131","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8829.873","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","8833.461","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9656.568","9659.336","9659.336","9659.336","9659.336","9659.336","9659.336","9659.336","9659.336","9659.336","9659.336"
"2009:09","#N/A","#N/A","#N/A","9011.889","8990.7","8979.154","8979.154","8979.154","8979.154","8979.154","8979.154","8979.154","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8884.443","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8748.168","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","8736.529","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9552.34","9556.973","9556.973","9556.973","9556.973","9556.973","9556.973","9556.973","9556.973","9556.973","9556.973"
"2009:10","#N/A","#N/A","#N/A","#N/A","9030.114","9017.534","9010.283","9007.636","9004.199","9004.199","9004.199","9004.199","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8913.119","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8767.446","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","8750.465","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9569.709","9571.274","9571.274","9571.274","9571.274","9571.274","9571.274","9571.274","9571.274","9571.274","9571.274"
"2009:11","#N/A","#N/A","#N/A","#N/A","#N/A","9037.591","9048.563","9040.826","9033.442","9033.442","9033.442","9033.442","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8918.546","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8766.037","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","8751.117","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9567.403","9568.577","9568.577","9568.577","9568.577","9568.577","9568.577","9568.577","9568.577","9568.577","9568.577"
"2009:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9059.15","9051.673","9051.431","9051.431","9051.431","9051.431","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8939.259","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8811.871","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","8798.448","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.854","9617.809","9617.809","9617.809","9617.809","9617.809","9617.809","9617.809","9617.809","9617.809","9617.809"
"2010:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9082.58","9070.419","9062.45","9060.24","9056.174","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8929.818","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8807.798","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","8792.719","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9602.747","9603.276","9603.276","9603.276","9603.276","9603.276","9603.276","9603.276","9603.276","9603.276","9603.276"
"2010:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9099.096","9109.817","9105.786","9096.963","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8968.282","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8839.193","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","8818.427","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9629.626","9632.59","9632.59","9632.59","9632.59","9632.59","9632.59","9632.59","9632.59","9632.59","9632.59"
"2010:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9151.701","9147.787","9136.251","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8997.924","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8876.203","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","8860.967","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9676.475","9679.752","9679.752","9679.752","9679.752","9679.752","9679.752","9679.752","9679.752","9679.752","9679.752"
"2010:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9148.602","9134.868","8987.525","8991.828","8995.613","8995.613","8995.613","8995.613","8995.613","8995.613","8995.613","8995.613","8995.613","8995.613","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8881.727","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","8865.112","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9688.3","9690.872","9690.872","9690.872","9690.872","9690.872","9690.872","9690.872","9690.872","9690.872","9690.872"
