"DATE","RCONNDM98M11","RCONNDM98M12","RCONNDM99M1","RCONNDM99M2","RCONNDM99M3","RCONNDM99M4","RCONNDM99M5","RCONNDM99M6","RCONNDM99M7","RCONNDM99M8","RCONNDM99M9","RCONNDM99M10","RCONNDM99M11","RCONNDM99M12","RCONNDM00M1","RCONNDM00M2","RCONNDM00M3","RCONNDM00M4","RCONNDM00M5","RCONNDM00M6","RCONNDM00M7","RCONNDM00M8","RCONNDM00M9","RCONNDM00M10","RCONNDM00M11","RCONNDM00M12","RCONNDM01M1","RCONNDM01M2","RCONNDM01M3","RCONNDM01M4","RCONNDM01M5","RCONNDM01M6","RCONNDM01M7","RCONNDM01M8","RCONNDM01M9","RCONNDM01M10","RCONNDM01M11","RCONNDM01M12","RCONNDM02M1","RCONNDM02M2","RCONNDM02M3","RCONNDM02M4","RCONNDM02M5","RCONNDM02M6","RCONNDM02M7","RCONNDM02M8","RCONNDM02M9","RCONNDM02M10","RCONNDM02M11","RCONNDM02M12","RCONNDM03M1","RCONNDM03M2","RCONNDM03M3","RCONNDM03M4","RCONNDM03M5","RCONNDM03M6","RCONNDM03M7","RCONNDM03M8","RCONNDM03M9","RCONNDM03M10","RCONNDM03M11","RCONNDM03M12","RCONNDM04M1","RCONNDM04M2","RCONNDM04M3","RCONNDM04M4","RCONNDM04M5","RCONNDM04M6","RCONNDM04M7","RCONNDM04M8","RCONNDM04M9","RCONNDM04M10","RCONNDM04M11","RCONNDM04M12","RCONNDM05M1","RCONNDM05M2","RCONNDM05M3","RCONNDM05M4","RCONNDM05M5","RCONNDM05M6","RCONNDM05M7","RCONNDM05M8","RCONNDM05M9","RCONNDM05M10","RCONNDM05M11","RCONNDM05M12","RCONNDM06M1","RCONNDM06M2","RCONNDM06M3","RCONNDM06M4","RCONNDM06M5","RCONNDM06M6","RCONNDM06M7","RCONNDM06M8","RCONNDM06M9","RCONNDM06M10","RCONNDM06M11","RCONNDM06M12","RCONNDM07M1","RCONNDM07M2","RCONNDM07M3","RCONNDM07M4","RCONNDM07M5","RCONNDM07M6","RCONNDM07M7","RCONNDM07M8","RCONNDM07M9","RCONNDM07M10","RCONNDM07M11","RCONNDM07M12","RCONNDM08M1","RCONNDM08M2","RCONNDM08M3","RCONNDM08M4","RCONNDM08M5","RCONNDM08M6","RCONNDM08M7","RCONNDM08M8","RCONNDM08M9","RCONNDM08M10","RCONNDM08M11","RCONNDM08M12","RCONNDM09M1","RCONNDM09M2","RCONNDM09M3","RCONNDM09M4","RCONNDM09M5","RCONNDM09M6","RCONNDM09M7","RCONNDM09M8","RCONNDM09M9","RCONNDM09M10","RCONNDM09M11","RCONNDM09M12","RCONNDM10M1","RCONNDM10M2","RCONNDM10M3","RCONNDM10M4","RCONNDM10M5","RCONNDM10M6","RCONNDM10M7","RCONNDM10M8","RCONNDM10M9","RCONNDM10M10","RCONNDM10M11","RCONNDM10M12","RCONNDM11M1","RCONNDM11M2","RCONNDM11M3","RCONNDM11M4","RCONNDM11M5","RCONNDM11M6","RCONNDM11M7","RCONNDM11M8","RCONNDM11M9","RCONNDM11M10","RCONNDM11M11","RCONNDM11M12","RCONNDM12M1","RCONNDM12M2","RCONNDM12M3","RCONNDM12M4","RCONNDM12M5","RCONNDM12M6","RCONNDM12M7","RCONNDM12M8","RCONNDM12M9","RCONNDM12M10","RCONNDM12M11","RCONNDM12M12","RCONNDM13M1","RCONNDM13M2","RCONNDM13M3","RCONNDM13M4","RCONNDM13M5","RCONNDM13M6","RCONNDM13M7","RCONNDM13M8","RCONNDM13M9","RCONNDM13M10","RCONNDM13M11","RCONNDM13M12","RCONNDM14M1","RCONNDM14M2","RCONNDM14M3","RCONNDM14M4","RCONNDM14M5","RCONNDM14M6","RCONNDM14M7","RCONNDM14M8","RCONNDM14M9","RCONNDM14M10","RCONNDM14M11","RCONNDM14M12","RCONNDM15M1","RCONNDM15M2","RCONNDM15M3","RCONNDM15M4","RCONNDM15M5","RCONNDM15M6","RCONNDM15M7","RCONNDM15M8","RCONNDM15M9","RCONNDM15M10","RCONNDM15M11"
"1992:08","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","1324.407","#N/A","1389.893","1389.893","1389.893","1389.893","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1389.9","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1510.4","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.554","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1318.49","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256","1435.256"
"1992:09","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","1324.261","#N/A","1393.136","1393.136","1393.136","1393.136","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1393.1","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1514.3","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.235","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1323.139","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324","1440.324"
"1992:10","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","1336.131","#N/A","1407.287","1407.287","1407.287","1407.287","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1407.3","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1529.5","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.475","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1332.378","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373","1450.373"
"1992:11","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","1340.229","#N/A","1409.144","1409.144","1409.144","1409.144","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1409.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1531.1","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.777","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1328.686","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349","1446.349"
"1992:12","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","1343.097","#N/A","1414.496","1414.496","1414.496","1414.496","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1414.5","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1537.2","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1335.009","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1334.898","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114","1453.114"
"1993:01","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","1346.098","#N/A","1414.905","1414.905","1414.905","1414.905","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1414.9","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1535.0","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.76","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1334.625","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831","1452.831"
"1993:02","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","1342.621","#N/A","1416.81","1416.81","1416.81","1416.81","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1416.8","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1531.0","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.463","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1334.312","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483","1452.483"
"1993:03","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","1323.799","#N/A","1398.944","1398.944","1398.944","1398.944","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1398.9","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1525.4","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.173","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1331.011","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894","1448.894"
"1993:04","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","1345.463","#N/A","1423.358","1423.358","1423.358","1423.358","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1423.4","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1536.9","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.344","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1337.164","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594","1455.594"
"1993:05","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","1347.023","#N/A","1425.262","1425.262","1425.262","1425.262","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1425.3","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1549.0","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.229","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1349.06","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536","1468.536"
"1993:06","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","1350.936","#N/A","1428.033","1428.033","1428.033","1428.033","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1547.5","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.696","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1345.524","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686","1464.686"
