"DATE","RIMP10M1","RIMP10M2","RIMP10M3","RIMP10M4","RIMP10M5","RIMP10M6","RIMP10M7","RIMP10M8","RIMP10M9","RIMP10M10","RIMP10M11","RIMP10M12","RIMP11M1","RIMP11M2","RIMP11M3","RIMP11M4","RIMP11M5","RIMP11M6","RIMP11M7","RIMP11M8","RIMP11M9","RIMP11M10","RIMP11M11","RIMP11M12","RIMP12M1","RIMP12M2","RIMP12M3","RIMP12M4","RIMP12M5","RIMP12M6","RIMP12M7","RIMP12M8","RIMP12M9","RIMP12M10","RIMP12M11","RIMP12M12","RIMP13M1","RIMP13M2","RIMP13M3","RIMP13M4","RIMP13M5","RIMP13M6","RIMP13M7","RIMP13M8","RIMP13M9","RIMP13M10","RIMP13M11","RIMP13M12","RIMP14M1","RIMP14M2","RIMP14M3","RIMP14M4","RIMP14M5","RIMP14M6","RIMP14M7","RIMP14M8","RIMP14M9","RIMP14M10","RIMP14M11","RIMP14M12","RIMP15M1","RIMP15M2","RIMP15M3","RIMP15M4","RIMP15M5","RIMP15M6","RIMP15M7","RIMP15M8","RIMP15M9","RIMP15M10","RIMP15M11"
"1965:Q4","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2","173.2"
"1966:Q1","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","178.1","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7","177.7"
"1966:Q2","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.5","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1","182.1"
"1966:Q3","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.7","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3","192.3"
"1966:Q4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.9","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5","194.5"
"1967:Q1","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.9","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5","197.5"
"1967:Q2","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.4","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0","196.0"
"1967:Q3","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5","198.5"
"1967:Q4","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.4","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0","209.0"
"1968:Q1","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.5","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","206.3","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.8","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3"
"1968:Q2","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.6","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","209.5","225.2","225.2","225.2","225.2","225.2","225.2","225.2","225.2","225.2","225.2","225.2","225.2","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7","224.7"
"1968:Q3","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.2","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","222.1","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.7","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2","238.2"
"1968:Q4","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.3","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","220.2","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.7","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2","236.2"
"1969:Q1","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.6","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","199.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","214.4","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9","213.9"
"1969:Q2","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.9","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","238.8","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.7","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1","256.1"
"1969:Q3","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.8","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8","252.8"
"1969:Q4","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.2","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","233.1","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.5","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0","250.0"
"1970:Q1","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.5","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","232.3","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.7","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2","249.2"
"1970:Q2","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","237.1","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","236.9","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.7","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1"
"1970:Q3","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.5","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","236.4","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","254.1","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5","253.5"
"1970:Q4","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.2","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","258.0","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5"
"1971:Q1","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.4","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","237.2","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","255.0","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4"
"1971:Q2","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.3","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","255.1","274.2","274.2","274.2","274.2","274.2","274.2","274.2","274.2","274.2","274.2","274.2","274.2","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6","273.6"
"1971:Q3","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.9","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","280.3","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7","279.7"
"1971:Q4","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.2","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","243.1","261.3","261.3","261.3","261.3","261.3","261.3","261.3","261.3","261.3","261.3","261.3","261.3","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7","260.7"
"1972:Q1","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.8","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","278.6","299.5","299.5","299.5","299.5","299.5","299.5","299.5","299.5","299.5","299.5","299.5","299.5","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8","298.8"
"1972:Q2","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.9","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","268.7","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2","288.2"
"1972:Q3","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.5","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.8","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2","294.2"
"1972:Q4","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.8","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","308.1","308.1","308.1","308.1","308.1","308.1","308.1","308.1","308.1","308.1","308.1","308.1","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5","307.5"
"1973:Q1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","300.1","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","322.3","322.3","322.3","322.3","322.3","322.3","322.3","322.3","322.3","322.3","322.3","322.3","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7","321.7"
"1973:Q2","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.4","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","291.2","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","313.1","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4"
"1973:Q3","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.4","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","283.2","304.4","304.4","304.4","304.4","304.4","304.4","304.4","304.4","304.4","304.4","304.4","304.4","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8","303.8"
"1973:Q4","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.5","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","285.3","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.7","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0"
"1974:Q1","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.8","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","275.6","296.3","296.3","296.3","296.3","296.3","296.3","296.3","296.3","296.3","296.3","296.3","296.3","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7","295.7"
"1974:Q2","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.4","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","312.0","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3","311.3"
"1974:Q3","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.4","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","285.1","306.5","306.5","306.5","306.5","306.5","306.5","306.5","306.5","306.5","306.5","306.5","306.5","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9","305.9"
"1974:Q4","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.5","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","282.3","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","303.5","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8","302.8"
"1975:Q1","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.2","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","254.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","273.0","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4","272.4"
"1975:Q2","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.8","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","233.7","251.2","251.2","251.2","251.2","251.2","251.2","251.2","251.2","251.2","251.2","251.2","251.2","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6","250.6"
"1975:Q3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.3","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","253.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","272.1","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5","271.5"
"1975:Q4","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.8","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","266.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.6","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0","286.0"
"1976:Q1","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.5","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","304.5","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9","303.9"
"1976:Q2","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.8","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","295.6","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.7","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1","317.1"
"1976:Q3","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.9","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","307.6","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.7","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0","330.0"
"1976:Q4","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","318.0","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","317.8","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9"
