"DATE","RG10M1","RG10M2","RG10M3","RG10M4","RG10M5","RG10M6","RG10M7","RG10M8","RG10M9","RG10M10","RG10M11","RG10M12","RG11M1","RG11M2","RG11M3","RG11M4","RG11M5","RG11M6","RG11M7","RG11M8","RG11M9","RG11M10","RG11M11","RG11M12","RG12M1","RG12M2","RG12M3","RG12M4","RG12M5","RG12M6","RG12M7","RG12M8","RG12M9","RG12M10","RG12M11","RG12M12","RG13M1","RG13M2","RG13M3","RG13M4","RG13M5","RG13M6","RG13M7","RG13M8","RG13M9","RG13M10","RG13M11","RG13M12","RG14M1","RG14M2","RG14M3","RG14M4","RG14M5","RG14M6","RG14M7","RG14M8","RG14M9","RG14M10","RG14M11","RG14M12","RG15M1","RG15M2","RG15M3","RG15M4","RG15M5","RG15M6","RG15M7","RG15M8","RG15M9","RG15M10","RG15M11"
"1952:Q1","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","782.4","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5","900.5"
"1952:Q2","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","808.9","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7","930.7"
"1952:Q3","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","817.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0","940.0"
"1952:Q4","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","831.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6","955.6"
"1953:Q1","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","859.8","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5","985.5"
"1953:Q2","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","878.7","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9","1005.9"
"1953:Q3","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","868.1","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2","995.2"
"1953:Q4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","865.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4","992.4"
"1954:Q1","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","842.2","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3","967.3"
"1954:Q2","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","812.5","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3","934.3"
