"DATE","RG10M1","RG10M2","RG10M3","RG10M4","RG10M5","RG10M6","RG10M7","RG10M8","RG10M9","RG10M10","RG10M11","RG10M12","RG11M1","RG11M2","RG11M3","RG11M4","RG11M5","RG11M6","RG11M7","RG11M8","RG11M9","RG11M10","RG11M11","RG11M12","RG12M1","RG12M2","RG12M3","RG12M4","RG12M5","RG12M6","RG12M7","RG12M8","RG12M9","RG12M10","RG12M11","RG12M12","RG13M1","RG13M2","RG13M3","RG13M4","RG13M5","RG13M6","RG13M7","RG13M8","RG13M9","RG13M10","RG13M11","RG13M12","RG14M1","RG14M2","RG14M3","RG14M4","RG14M5","RG14M6","RG14M7","RG14M8","RG14M9","RG14M10","RG14M11","RG14M12","RG15M1","RG15M2","RG15M3","RG15M4","RG15M5","RG15M6","RG15M7","RG15M8","RG15M9","RG15M10","RG15M11"
"1957:Q2","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","806.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7","935.7"
"1957:Q3","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","812.9","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5","943.5"
"1957:Q4","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3","959.3"
"1958:Q1","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","818.4","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8","950.8"
"1958:Q2","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","838.9","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7","974.7"
"1958:Q3","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","844.2","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6","980.6"
"1958:Q4","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","862.2","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7","1000.7"
"1959:Q1","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","856.6","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4","989.4"
"1959:Q2","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","869.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7","1001.7"
"1959:Q3","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","880.6","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3","1010.3"
"1959:Q4","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","871.0","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1","1002.1"
"1960:Q1","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","853.9","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2","985.2"
"1960:Q2","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","860.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8"
"1960:Q3","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","881.5","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0","1020.0"
"1960:Q4","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","887.7","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8","1026.8"
"1961:Q1","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","899.3","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0","1042.0"
"1961:Q2","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","901.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4","1044.4"
"1961:Q3","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","919.1","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4","1066.4"
"1961:Q4","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","939.3","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7","1089.7"
"1962:Q1","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","955.9","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7","1110.7"
"1962:Q2","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","961.1","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0","1116.0"
"1962:Q3","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","983.0","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7","1141.7"
"1962:Q4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","984.4","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6","1149.6"
"1963:Q1","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","978.4","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1","1134.1"
"1963:Q2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","977.2","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1","1135.1"
"1963:Q3","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1019.1","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4","1185.4"
"1963:Q4","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1009.8","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7","1173.7"
"1964:Q1","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1013.5","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3","1177.3"
"1964:Q2","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1020.1","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9","1187.9"
"1964:Q3","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1020.7","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4","1189.4"
"1964:Q4","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1017.8","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0","1189.0"
"1965:Q1","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1015.3","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7","1187.7"
"1965:Q2","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1028.4","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0","1202.0"
"1965:Q3","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1064.0","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7","1241.7"
"1965:Q4","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1086.9","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4","1265.4"
"1966:Q1","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1106.4","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0","1289.0"
"1966:Q2","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1126.0","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4","1313.4"
"1966:Q3","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1156.5","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1","1349.1"
"1966:Q4","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1175.3","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4","1372.4"
"1967:Q1","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1225.2","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8","1429.8"
