"DATE","ROUTPUT10M1","ROUTPUT10M2","ROUTPUT10M3","ROUTPUT10M4","ROUTPUT10M5","ROUTPUT10M6","ROUTPUT10M7","ROUTPUT10M8","ROUTPUT10M9","ROUTPUT10M10","ROUTPUT10M11","ROUTPUT10M12","ROUTPUT11M1","ROUTPUT11M2","ROUTPUT11M3","ROUTPUT11M4","ROUTPUT11M5","ROUTPUT11M6","ROUTPUT11M7","ROUTPUT11M8","ROUTPUT11M9","ROUTPUT11M10","ROUTPUT11M11","ROUTPUT11M12","ROUTPUT12M1","ROUTPUT12M2","ROUTPUT12M3","ROUTPUT12M4","ROUTPUT12M5","ROUTPUT12M6","ROUTPUT12M7","ROUTPUT12M8","ROUTPUT12M9","ROUTPUT12M10","ROUTPUT12M11","ROUTPUT12M12","ROUTPUT13M1","ROUTPUT13M2","ROUTPUT13M3","ROUTPUT13M4","ROUTPUT13M5","ROUTPUT13M6","ROUTPUT13M7","ROUTPUT13M8","ROUTPUT13M9","ROUTPUT13M10","ROUTPUT13M11","ROUTPUT13M12","ROUTPUT14M1","ROUTPUT14M2","ROUTPUT14M3","ROUTPUT14M4","ROUTPUT14M5","ROUTPUT14M6","ROUTPUT14M7","ROUTPUT14M8","ROUTPUT14M9","ROUTPUT14M10","ROUTPUT14M11","ROUTPUT14M12","ROUTPUT15M1","ROUTPUT15M2","ROUTPUT15M3","ROUTPUT15M4","ROUTPUT15M5","ROUTPUT15M6","ROUTPUT15M7","ROUTPUT15M8","ROUTPUT15M9","ROUTPUT15M10","ROUTPUT15M11"
"1952:Q2","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2218.6","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2216.7","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2426.2","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5","2428.5"
"1952:Q3","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2233.5","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2231.6","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2443.7","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1","2446.1"
"1952:Q4","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2307.2","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2305.3","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2523.9","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4","2526.4"
"1953:Q1","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2350.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2348.4","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2570.9","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4","2573.4"
"1953:Q2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2368.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2366.2","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2591.0","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5","2593.5"
"1953:Q3","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2353.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2351.8","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2576.4","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9","2578.9"
"1953:Q4","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2316.5","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2314.6","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2537.3","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8","2539.8"
"1954:Q1","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2305.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2303.5","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2525.6","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0","2528.0"
"1954:Q2","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2308.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2306.4","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2528.3","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7","2530.7"
"1954:Q3","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2334.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2332.4","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2556.9","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4","2559.4"
