"DATE","PCONG09M8","PCONG09M9","PCONG09M10","PCONG09M11","PCONG09M12","PCONG10M1","PCONG10M2","PCONG10M3","PCONG10M4","PCONG10M5","PCONG10M6","PCONG10M7","PCONG10M8","PCONG10M9","PCONG10M10","PCONG10M11","PCONG10M12","PCONG11M1","PCONG11M2","PCONG11M3","PCONG11M4","PCONG11M5","PCONG11M6","PCONG11M7","PCONG11M8","PCONG11M9","PCONG11M10","PCONG11M11","PCONG11M12","PCONG12M1","PCONG12M2","PCONG12M3","PCONG12M4","PCONG12M5","PCONG12M6","PCONG12M7","PCONG12M8","PCONG12M9","PCONG12M10","PCONG12M11","PCONG12M12","PCONG13M1","PCONG13M2","PCONG13M3","PCONG13M4","PCONG13M5","PCONG13M6","PCONG13M7","PCONG13M8","PCONG13M9","PCONG13M10","PCONG13M11","PCONG13M12","PCONG14M1","PCONG14M2","PCONG14M3","PCONG14M4","PCONG14M5","PCONG14M6","PCONG14M7","PCONG14M8","PCONG14M9","PCONG14M10","PCONG14M11","PCONG14M12","PCONG15M1","PCONG15M2","PCONG15M3","PCONG15M4","PCONG15M5"
"1992:Q4","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.484","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","93.613","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858","90.858"
"1993:Q1","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.653","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","93.782","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022","91.022"
"1993:Q2","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.734","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","93.863","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101","91.101"
"1993:Q3","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.628","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","93.757","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998","90.998"
"1993:Q4","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.129","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","94.259","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485","91.485"
"1994:Q1","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.03","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","94.159","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388","91.388"
"1994:Q2","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.357","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","94.487","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706","91.706"
"1994:Q3","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.226","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","95.357","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551","92.551"
"1994:Q4","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.347","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","95.478","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668","92.668"
"1995:Q1","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.46","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","95.591","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778","92.778"
