"DATE","RGF10M1","RGF10M2","RGF10M3","RGF10M4","RGF10M5","RGF10M6","RGF10M7","RGF10M8","RGF10M9","RGF10M10","RGF10M11","RGF10M12","RGF11M1","RGF11M2","RGF11M3","RGF11M4","RGF11M5","RGF11M6","RGF11M7","RGF11M8","RGF11M9","RGF11M10","RGF11M11","RGF11M12","RGF12M1","RGF12M2","RGF12M3","RGF12M4","RGF12M5","RGF12M6","RGF12M7","RGF12M8","RGF12M9","RGF12M10","RGF12M11","RGF12M12","RGF13M1","RGF13M2","RGF13M3","RGF13M4","RGF13M5","RGF13M6","RGF13M7","RGF13M8","RGF13M9","RGF13M10","RGF13M11","RGF13M12","RGF14M1","RGF14M2","RGF14M3","RGF14M4","RGF14M5","RGF14M6","RGF14M7","RGF14M8","RGF14M9","RGF14M10","RGF14M11","RGF14M12","RGF15M1","RGF15M2","RGF15M3","RGF15M4","RGF15M5"
"1952:Q1","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","513.5","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2"
"1952:Q2","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.3","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5","544.5"
"1952:Q3","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","546.9","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","547.6","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9","557.9"
"1952:Q4","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","555.5","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","556.2","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8","565.8"
"1953:Q1","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.3","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","577.8","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7","585.7"
"1953:Q2","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","595.6","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","596.0","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7","602.7"
"1953:Q3","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.5","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","579.8","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1","588.1"
"1953:Q4","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.2","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","571.4","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2","580.2"
"1954:Q1","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.8","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","540.9","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7","551.7"
"1954:Q2","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","511.9","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8","523.8"
