"DATE","RCOND65Q4","RCOND66Q1","RCOND66Q2","RCOND66Q3","RCOND66Q4","RCOND67Q1","RCOND67Q2","RCOND67Q3","RCOND67Q4","RCOND68Q1","RCOND68Q2","RCOND68Q3","RCOND68Q4","RCOND69Q1","RCOND69Q2","RCOND69Q3","RCOND69Q4","RCOND70Q1","RCOND70Q2","RCOND70Q3","RCOND70Q4","RCOND71Q1","RCOND71Q2","RCOND71Q3","RCOND71Q4","RCOND72Q1","RCOND72Q2","RCOND72Q3","RCOND72Q4","RCOND73Q1","RCOND73Q2","RCOND73Q3","RCOND73Q4","RCOND74Q1","RCOND74Q2","RCOND74Q3","RCOND74Q4","RCOND75Q1","RCOND75Q2","RCOND75Q3","RCOND75Q4","RCOND76Q1","RCOND76Q2","RCOND76Q3","RCOND76Q4","RCOND77Q1","RCOND77Q2","RCOND77Q3","RCOND77Q4","RCOND78Q1","RCOND78Q2","RCOND78Q3","RCOND78Q4","RCOND79Q1","RCOND79Q2","RCOND79Q3","RCOND79Q4","RCOND80Q1","RCOND80Q2","RCOND80Q3","RCOND80Q4","RCOND81Q1","RCOND81Q2","RCOND81Q3","RCOND81Q4","RCOND82Q1","RCOND82Q2","RCOND82Q3","RCOND82Q4","RCOND83Q1","RCOND83Q2","RCOND83Q3","RCOND83Q4","RCOND84Q1","RCOND84Q2","RCOND84Q3","RCOND84Q4","RCOND85Q1","RCOND85Q2","RCOND85Q3","RCOND85Q4","RCOND86Q1","RCOND86Q2","RCOND86Q3","RCOND86Q4","RCOND87Q1","RCOND87Q2","RCOND87Q3","RCOND87Q4","RCOND88Q1","RCOND88Q2","RCOND88Q3","RCOND88Q4","RCOND89Q1","RCOND89Q2","RCOND89Q3","RCOND89Q4","RCOND90Q1","RCOND90Q2","RCOND90Q3","RCOND90Q4","RCOND91Q1","RCOND91Q2","RCOND91Q3","RCOND91Q4","RCOND92Q1","RCOND92Q2","RCOND92Q3","RCOND92Q4","RCOND93Q1","RCOND93Q2","RCOND93Q3","RCOND93Q4","RCOND94Q1","RCOND94Q2","RCOND94Q3","RCOND94Q4","RCOND95Q1","RCOND95Q2","RCOND95Q3","RCOND95Q4","RCOND96Q1","RCOND96Q2","RCOND96Q3","RCOND96Q4","RCOND97Q1","RCOND97Q2","RCOND97Q3","RCOND97Q4","RCOND98Q1","RCOND98Q2","RCOND98Q3","RCOND98Q4","RCOND99Q1","RCOND99Q2","RCOND99Q3","RCOND99Q4","RCOND00Q1","RCOND00Q2","RCOND00Q3","RCOND00Q4","RCOND01Q1","RCOND01Q2","RCOND01Q3","RCOND01Q4","RCOND02Q1","RCOND02Q2","RCOND02Q3","RCOND02Q4","RCOND03Q1","RCOND03Q2","RCOND03Q3","RCOND03Q4","RCOND04Q1","RCOND04Q2","RCOND04Q3","RCOND04Q4","RCOND05Q1","RCOND05Q2","RCOND05Q3","RCOND05Q4","RCOND06Q1","RCOND06Q2","RCOND06Q3","RCOND06Q4","RCOND07Q1","RCOND07Q2","RCOND07Q3","RCOND07Q4","RCOND08Q1","RCOND08Q2","RCOND08Q3","RCOND08Q4","RCOND09Q1","RCOND09Q2","RCOND09Q3","RCOND09Q4","RCOND10Q1","RCOND10Q2","RCOND10Q3","RCOND10Q4","RCOND11Q1","RCOND11Q2","RCOND11Q3","RCOND11Q4","RCOND12Q1","RCOND12Q2","RCOND12Q3","RCOND12Q4","RCOND13Q1","RCOND13Q2","RCOND13Q3","RCOND13Q4","RCOND14Q1","RCOND14Q2","RCOND14Q3","RCOND14Q4","RCOND15Q1","RCOND15Q2"
"1982:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","137.7","137.5","137.5","137.5","137.5","138.5","138.5","138.5","138.5","138.5","138.5","138.5","138.5","138.5","138.5","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","247.7","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","259.3","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","280.5","#N/A","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","278.3","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.4","255.5","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8"
"1982:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","139.0","138.3","138.3","138.3","139.5","139.5","139.5","139.5","138.8","138.8","138.8","138.8","138.8","138.8","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","249.1","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","258.6","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","#N/A","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","279.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","256.2","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6"
"1982:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","136.8","136.4","136.4","138.2","138.2","138.2","138.2","139.3","139.3","139.3","139.3","139.3","139.3","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","251.8","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","260.0","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","283.3","#N/A","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","281.4","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","258.2","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5"
"1982:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","142.8","142.8","143.2","143.2","143.2","143.2","145.2","145.2","145.2","145.2","145.2","145.2","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","262.0","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","272.3","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","296.7","#N/A","294.8","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","294.9","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.6","270.5","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8"
"1983:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","144.5","145.8","145.8","145.8","145.8","146.8","146.8","146.8","146.8","146.8","146.8","264.9","264.9","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","263.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","274.3","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","299.9","#N/A","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","298.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.1","273.0","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2"
"1983:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","156.4","156.5","156.5","156.5","156.2","156.2","156.2","156.2","156.2","156.2","280.8","280.8","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","280.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","294.0","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","322.7","#N/A","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","320.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.6","293.5","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6"
"1983:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","158.6","157.9","157.9","159.6","159.6","159.6","159.6","159.6","159.6","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","288.5","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","303.3","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","334.9","#N/A","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","333.3","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.2","305.1","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5"
"1983:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","163.6","165.2","167.2","167.2","167.2","167.2","167.2","167.2","300.0","300.0","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","300.5","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","352.1","#N/A","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","350.2","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.7","320.6","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6"
"1984:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","171.9","173.7","173.7","173.7","173.7","173.7","173.7","311.0","311.0","311.1","311.1","311.1","311.1","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","312.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","329.6","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","365.9","#N/A","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","363.9","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","333.2","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2"
"1984:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","177.6","178.6","178.6","178.6","178.6","178.6","317.7","317.7","319.0","319.0","319.0","319.0","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","322.5","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","339.0","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","#N/A","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","372.4","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9"
"1984:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","177.0","177.0","177.0","177.0","177.0","318.0","318.0","318.8","318.8","318.8","318.8","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","324.3","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","337.6","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","373.7","#N/A","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","372.3","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","340.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0"
"1984:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","182.1","182.9","182.9","182.9","327.6","327.6","326.8","326.8","326.8","326.8","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","333.1","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","347.7","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","385.8","#N/A","384.3","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","384.4","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","351.9","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6"
"1985:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","186.0","187.0","187.0","335.0","335.0","332.3","332.3","332.3","332.3","342.4","342.4","342.4","342.4","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","344.8","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","360.1","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","399.3","#N/A","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","398.0","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","364.6","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3"
