"DATE","rcong09Q3","rcong09Q4","rcong10Q1","rcong10Q2","rcong10Q3","rcong10Q4","rcong11Q1","rcong11Q2","rcong11Q3","rcong11Q4","rcong12Q1","rcong12Q2","rcong12Q3","rcong12Q4","rcong13Q1","rcong13Q2","rcong13Q3","rcong13Q4","rcong14Q1","rcong14Q2","rcong14Q3","rcong14Q4","rcong15Q1","rcong15Q2"
"1957:Q2","565.6","565.6","565.6","565.6","565.6","565.6","565.6","565.6","565.0","565.0","565.0","565.0","565.0","565.0","565.0","565.0","582.2","582.2","582.2","582.2","582.2","582.2","582.2","582.2"
"1957:Q3","570.4","570.4","570.4","570.4","570.4","570.4","570.4","570.4","569.8","569.8","569.8","569.8","569.8","569.8","569.8","569.8","587.1","587.1","587.1","587.1","587.1","587.1","587.1","587.1"
"1957:Q4","565.9","565.9","565.9","565.9","565.9","565.9","565.9","565.9","565.3","565.3","565.3","565.3","565.3","565.3","565.3","565.3","582.5","582.5","582.5","582.5","582.5","582.5","582.5","582.5"
"1958:Q1","552.4","552.4","552.4","552.4","552.4","552.4","552.4","552.4","551.8","551.8","551.8","551.8","551.8","551.8","551.8","551.8","568.5","568.5","568.5","568.5","568.5","568.5","568.5","568.5"
"1958:Q2","554.1","554.1","554.1","554.1","554.1","554.1","554.1","554.1","553.5","553.5","553.5","553.5","553.5","553.5","553.5","553.5","570.3","570.3","570.3","570.3","570.3","570.3","570.3","570.3"
"1958:Q3","564.6","564.6","564.6","564.6","564.6","564.6","564.6","564.6","563.9","563.9","563.9","563.9","563.9","563.9","563.9","563.9","581.0","581.0","581.0","581.0","581.0","581.0","581.0","581.0"
"1958:Q4","575.4","575.4","575.4","575.4","575.4","575.4","575.4","575.4","574.8","574.8","574.8","574.8","574.8","574.8","574.8","574.8","592.2","592.2","592.2","592.2","592.2","592.2","592.2","592.2"
"1959:Q1","588.8","588.8","588.8","588.8","588.8","588.8","588.8","588.8","588.2","588.2","588.2","588.2","588.2","588.2","588.2","588.2","606.0","606.0","606.0","606.0","606.0","606.0","606.0","606.0"
"1959:Q2","598.1","598.1","598.1","598.1","598.1","598.1","598.1","598.1","597.5","597.5","597.5","597.5","597.5","597.5","597.5","597.5","615.6","615.6","615.6","615.6","615.6","615.6","615.6","615.6"
"1959:Q3","602.8","602.8","602.8","602.8","602.8","602.8","602.8","602.8","602.2","602.2","602.2","602.2","602.2","602.2","602.2","602.2","620.5","620.5","620.5","620.5","620.5","620.5","620.5","620.5"
"1959:Q4","597.9","597.9","597.9","597.9","597.9","597.9","597.9","597.9","597.3","597.3","597.3","597.3","597.3","597.3","597.3","597.3","615.4","615.4","615.4","615.4","615.4","615.4","615.4","615.4"
"1960:Q1","603.9","603.9","603.9","603.9","603.9","603.9","603.9","603.9","603.3","603.3","603.3","603.3","603.3","603.3","603.3","603.3","621.6","621.6","621.6","621.6","621.6","621.6","621.6","621.6"
"1960:Q2","612.4","612.4","612.4","612.4","612.4","612.4","612.4","612.4","611.7","611.7","611.7","611.7","611.7","611.7","611.7","611.7","630.3","630.3","630.3","630.3","630.3","630.3","630.3","630.3"
"1960:Q3","608.5","608.5","608.5","608.5","608.5","608.5","608.5","608.5","607.8","607.8","607.8","607.8","607.8","607.8","607.8","607.8","626.3","626.3","626.3","626.3","626.3","626.3","626.3","626.3"
"1960:Q4","604.8","604.8","604.8","604.8","604.8","604.8","604.8","604.8","604.2","604.2","604.2","604.2","604.2","604.2","604.2","604.2","622.5","622.5","622.5","622.5","622.5","622.5","622.5","622.5"
"1961:Q1","599.1","599.1","599.1","599.1","599.1","599.1","599.1","599.1","598.4","598.4","598.4","598.4","598.4","598.4","598.4","598.4","616.6","616.6","616.6","616.6","616.6","616.6","616.6","616.6"
"1961:Q2","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","607.5","607.5","607.5","607.5","607.5","607.5","607.5","607.5","625.9","625.9","625.9","625.9","625.9","625.9","625.9","625.9"
"1961:Q3","612.1","612.1","612.1","612.1","612.1","612.1","612.1","612.1","611.5","611.5","611.5","611.5","611.5","611.5","611.5","611.5","630.0","630.0","630.0","630.0","630.0","630.0","630.0","630.0"
"1961:Q4","625.7","625.7","625.7","625.7","625.7","625.7","625.7","625.7","625.1","625.1","625.1","625.1","625.1","625.1","625.1","625.1","644.0","644.0","644.0","644.0","644.0","644.0","644.0","644.0"
"1962:Q1","633.0","633.0","633.0","633.0","633.0","633.0","633.0","633.0","632.4","632.4","632.4","632.4","632.4","632.4","632.4","632.4","651.5","651.5","651.5","651.5","651.5","651.5","651.5","651.5"
"1962:Q2","639.3","639.3","639.3","639.3","639.3","639.3","639.3","639.3","638.6","638.6","638.6","638.6","638.6","638.6","638.6","638.6","658.0","658.0","658.0","658.0","658.0","658.0","658.0","658.0"
"1962:Q3","644.1","644.1","644.1","644.1","644.1","644.1","644.1","644.1","643.5","643.5","643.5","643.5","643.5","643.5","643.5","643.5","663.0","663.0","663.0","663.0","663.0","663.0","663.0","663.0"
"1962:Q4","654.2","654.2","654.2","654.2","654.2","654.2","654.2","654.2","653.6","653.6","653.6","653.6","653.6","653.6","653.6","653.6","673.4","673.4","673.4","673.4","673.4","673.4","673.4","673.4"
"1963:Q1","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","659.7","659.7","659.7","659.7","659.7","659.7","659.7","659.7","679.7","679.7","679.7","679.7","679.7","679.7","679.7","679.7"
"1963:Q2","665.8","665.8","665.8","665.8","665.8","665.8","665.8","665.8","665.1","665.1","665.1","665.1","665.1","665.1","665.1","665.1","685.3","685.3","685.3","685.3","685.3","685.3","685.3","685.3"
"1963:Q3","672.5","672.5","672.5","672.5","672.5","672.5","672.5","672.5","671.8","671.8","671.8","671.8","671.8","671.8","671.8","671.8","692.2","692.2","692.2","692.2","692.2","692.2","692.2","692.2"
"1963:Q4","674.7","674.7","674.7","674.7","674.7","674.7","674.7","674.7","674.1","674.1","674.1","674.1","674.1","674.1","674.1","674.1","694.5","694.5","694.5","694.5","694.5","694.5","694.5","694.5"
"1964:Q1","690.4","690.4","690.4","690.4","690.4","690.4","690.4","690.4","689.7","689.7","689.7","689.7","689.7","689.7","689.7","689.7","710.6","710.6","710.6","710.6","710.6","710.6","710.6","710.6"
"1964:Q2","704.9","704.9","704.9","704.9","704.9","704.9","704.9","704.9","704.2","704.2","704.2","704.2","704.2","704.2","704.2","704.2","725.6","725.6","725.6","725.6","725.6","725.6","725.6","725.6"
"1964:Q3","721.3","721.3","721.3","721.3","721.3","721.3","721.3","721.3","720.6","720.6","720.6","720.6","720.6","720.6","720.6","720.6","742.5","742.5","742.5","742.5","742.5","742.5","742.5","742.5"
"1964:Q4","716.0","716.0","716.0","716.0","716.0","716.0","716.0","716.0","715.3","715.3","715.3","715.3","715.3","715.3","715.3","715.3","737.0","737.0","737.0","737.0","737.0","737.0","737.0","737.0"
"1965:Q1","739.3","739.3","739.3","739.3","739.3","739.3","739.3","739.3","738.6","738.6","738.6","738.6","738.6","738.6","738.6","738.6","761.1","761.1","761.1","761.1","761.1","761.1","761.1","761.1"
"1965:Q2","744.7","744.7","744.7","744.7","744.7","744.7","744.7","744.7","744.0","744.0","744.0","744.0","744.0","744.0","744.0","744.0","766.6","766.6","766.6","766.6","766.6","766.6","766.6","766.6"
"1965:Q3","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.9","759.2","759.2","759.2","759.2","759.2","759.2","759.2","759.2","782.2","782.2","782.2","782.2","782.2","782.2","782.2","782.2"
"1965:Q4","789.2","789.2","789.2","789.2","789.2","789.2","789.2","789.2","788.5","788.5","788.5","788.5","788.5","788.5","788.5","788.5","812.4","812.4","812.4","812.4","812.4","812.4","812.4","812.4"
"1966:Q1","804.1","804.1","804.1","804.1","804.1","804.1","804.1","804.1","803.3","803.3","803.3","803.3","803.3","803.3","803.3","803.3","827.7","827.7","827.7","827.7","827.7","827.7","827.7","827.7"
"1966:Q2","800.1","800.1","800.1","800.1","800.1","800.1","800.1","800.1","799.3","799.3","799.3","799.3","799.3","799.3","799.3","799.3","823.5","823.5","823.5","823.5","823.5","823.5","823.5","823.5"
"1966:Q3","811.6","811.6","811.6","811.6","811.6","811.6","811.6","811.6","810.8","810.8","810.8","810.8","810.8","810.8","810.8","810.8","835.4","835.4","835.4","835.4","835.4","835.4","835.4","835.4"
"1966:Q4","809.9","809.9","809.9","809.9","809.9","809.9","809.9","809.9","809.1","809.1","809.1","809.1","809.1","809.1","809.1","809.1","833.6","833.6","833.6","833.6","833.6","833.6","833.6","833.6"
"1967:Q1","812.0","812.0","812.0","812.0","812.0","812.0","812.0","812.0","811.2","811.2","811.2","811.2","811.2","811.2","811.2","811.2","835.8","835.8","835.8","835.8","835.8","835.8","835.8","835.8"
"1967:Q2","826.2","826.2","826.2","826.2","826.2","826.2","826.2","826.2","825.3","825.3","825.3","825.3","825.3","825.3","825.3","825.3","850.4","850.4","850.4","850.4","850.4","850.4","850.4","850.4"
"1967:Q3","823.7","823.7","823.7","823.7","823.7","823.7","823.7","823.7","822.9","822.9","822.9","822.9","822.9","822.9","822.9","822.9","847.8","847.8","847.8","847.8","847.8","847.8","847.8","847.8"
"1967:Q4","826.9","826.9","826.9","826.9","826.9","826.9","826.9","826.9","826.1","826.1","826.1","826.1","826.1","826.1","826.1","826.1","851.2","851.2","851.2","851.2","851.2","851.2","851.2","851.2"
"1968:Q1","853.2","853.2","853.2","853.2","853.2","853.2","853.2","853.2","852.4","852.4","852.4","852.4","852.4","852.4","852.4","852.4","878.3","878.3","878.3","878.3","878.3","878.3","878.3","878.3"
