"DATE","RINVBF10M1","RINVBF10M2","RINVBF10M3","RINVBF10M4","RINVBF10M5","RINVBF10M6","RINVBF10M7","RINVBF10M8","RINVBF10M9","RINVBF10M10","RINVBF10M11","RINVBF10M12","RINVBF11M1","RINVBF11M2","RINVBF11M3","RINVBF11M4","RINVBF11M5","RINVBF11M6","RINVBF11M7","RINVBF11M8","RINVBF11M9","RINVBF11M10","RINVBF11M11","RINVBF11M12","RINVBF12M1","RINVBF12M2","RINVBF12M3","RINVBF12M4","RINVBF12M5","RINVBF12M6","RINVBF12M7","RINVBF12M8","RINVBF12M9","RINVBF12M10","RINVBF12M11","RINVBF12M12","RINVBF13M1","RINVBF13M2","RINVBF13M3","RINVBF13M4","RINVBF13M5","RINVBF13M6","RINVBF13M7","RINVBF13M8","RINVBF13M9","RINVBF13M10","RINVBF13M11","RINVBF13M12","RINVBF14M1","RINVBF14M2","RINVBF14M3","RINVBF14M4","RINVBF14M5","RINVBF14M6","RINVBF14M7","RINVBF14M8","RINVBF14M9","RINVBF14M10","RINVBF14M11","RINVBF14M12","RINVBF15M1","RINVBF15M2","RINVBF15M3","RINVBF15M4","RINVBF15M5"
"1952:Q1","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6","142.6"
"1952:Q2","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.7","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8"
"1952:Q3","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6","133.6"
"1952:Q4","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4"
"1953:Q1","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3"
"1953:Q2","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","121.3","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8"
"1953:Q3","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3","158.3"
"1953:Q4","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","122.6","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8","156.8"
"1954:Q1","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","119.4","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7"
"1954:Q2","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4"
"1954:Q3","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2","155.2"
"1954:Q4","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","121.0","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","120.5","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0","155.0"
"1955:Q1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","122.7","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6","157.6"
"1955:Q2","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","130.4","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9","166.9"
"1955:Q3","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.5","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2"
"1955:Q4","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","141.3","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","140.8","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5","180.5"
"1956:Q1","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.7","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","138.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2","178.2"
"1956:Q2","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.9","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4"
"1956:Q3","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","142.1","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","141.5","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3"
"1956:Q4","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.7","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","141.1","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3"
"1957:Q1","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","142.2","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3"
"1957:Q2","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","141.8","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9","183.9"
"1957:Q3","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","145.4","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","144.8","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6","187.6"
"1957:Q4","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.6","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","141.0","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3","183.3"
"1958:Q1","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","131.4","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6","171.6"
