"DATE","PINTI65Q4","PINTI66Q1","PINTI66Q2","PINTI66Q3","PINTI66Q4","PINTI67Q1","PINTI67Q2","PINTI67Q3","PINTI67Q4","PINTI68Q1","PINTI68Q2","PINTI68Q3","PINTI68Q4","PINTI69Q1","PINTI69Q2","PINTI69Q3","PINTI69Q4","PINTI70Q1","PINTI70Q2","PINTI70Q3","PINTI70Q4","PINTI71Q1","PINTI71Q2","PINTI71Q3","PINTI71Q4","PINTI72Q1","PINTI72Q2","PINTI72Q3","PINTI72Q4","PINTI73Q1","PINTI73Q2","PINTI73Q3","PINTI73Q4","PINTI74Q1","PINTI74Q2","PINTI74Q3","PINTI74Q4","PINTI75Q1","PINTI75Q2","PINTI75Q3","PINTI75Q4","PINTI76Q1","PINTI76Q2","PINTI76Q3","PINTI76Q4","PINTI77Q1","PINTI77Q2","PINTI77Q3","PINTI77Q4","PINTI78Q1","PINTI78Q2","PINTI78Q3","PINTI78Q4","PINTI79Q1","PINTI79Q2","PINTI79Q3","PINTI79Q4","PINTI80Q1","PINTI80Q2","PINTI80Q3","PINTI80Q4","PINTI81Q1","PINTI81Q2","PINTI81Q3","PINTI81Q4","PINTI82Q1","PINTI82Q2","PINTI82Q3","PINTI82Q4","PINTI83Q1","PINTI83Q2","PINTI83Q3","PINTI83Q4","PINTI84Q1","PINTI84Q2","PINTI84Q3","PINTI84Q4","PINTI85Q1","PINTI85Q2","PINTI85Q3","PINTI85Q4","PINTI86Q1","PINTI86Q2","PINTI86Q3","PINTI86Q4","PINTI87Q1","PINTI87Q2","PINTI87Q3","PINTI87Q4","PINTI88Q1","PINTI88Q2","PINTI88Q3","PINTI88Q4","PINTI89Q1","PINTI89Q2","PINTI89Q3","PINTI89Q4","PINTI90Q1","PINTI90Q2","PINTI90Q3","PINTI90Q4","PINTI91Q1","PINTI91Q2","PINTI91Q3","PINTI91Q4","PINTI92Q1","PINTI92Q2","PINTI92Q3","PINTI92Q4","PINTI93Q1","PINTI93Q2","PINTI93Q3","PINTI93Q4","PINTI94Q1","PINTI94Q2","PINTI94Q3","PINTI94Q4","PINTI95Q1","PINTI95Q2","PINTI95Q3","PINTI95Q4","PINTI96Q1","PINTI96Q2","PINTI96Q3","PINTI96Q4","PINTI97Q1","PINTI97Q2","PINTI97Q3","PINTI97Q4","PINTI98Q1","PINTI98Q2","PINTI98Q3","PINTI98Q4","PINTI99Q1","PINTI99Q2","PINTI99Q3","PINTI99Q4","PINTI00Q1","PINTI00Q2","PINTI00Q3","PINTI00Q4","PINTI01Q1","PINTI01Q2","PINTI01Q3","PINTI01Q4","PINTI02Q1","PINTI02Q2","PINTI02Q3","PINTI02Q4","PINTI03Q1","PINTI03Q2","PINTI03Q3","PINTI03Q4","PINTI04Q1","PINTI04Q2","PINTI04Q3","PINTI04Q4","PINTI05Q1","PINTI05Q2","PINTI05Q3","PINTI05Q4","PINTI06Q1","PINTI06Q2","PINTI06Q3","PINTI06Q4","PINTI07Q1","PINTI07Q2","PINTI07Q3","PINTI07Q4","PINTI08Q1","PINTI08Q2","PINTI08Q3","PINT08Q4","PINTI09Q1","PINTI09Q2","PINTI09Q3","PINTI09Q4","PINTI10Q1","PINTI10Q2","PINTI10Q3","PINTI10Q4","PINTI11Q1","PINTI11Q2","PINTI11Q3","PINTI11Q4","PINTI12Q1","PINTI12Q2","PINTI12Q3","PINTI12Q4","PINTI13Q1","PINTI13Q2","PINTI13Q3","PINTI13Q4","PINTI14Q1","PINTI14Q2","PINTI14Q3","PINTI14Q4","PINTI15Q1","PINTI15Q2"
"1963:Q2","30.4","30.4","30.4","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","30.8","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","29.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","#N/A","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","32.3","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","#N/A","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","31.0","39.1","39.1","39.1","39.1","39.1","39.1","39.1","39.1"
"1963:Q3","31.7","31.7","31.7","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","30.5","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.6","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","#N/A","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","33.4","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","#N/A","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","32.1","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2"
"1963:Q4","32.7","32.7","32.7","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","33.9","#N/A","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","#N/A","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","33.2","41.5","41.5","41.5","41.5","41.5","41.5","41.5","41.5"
"1964:Q1","33.2","33.2","33.2","33.3","33.3","33.3","33.3","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.2","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","34.6","#N/A","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","#N/A","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","42.6","42.6","42.6","42.6","42.6","42.6","42.6","42.6"
"1964:Q2","33.8","33.8","33.8","34.0","34.0","34.0","34.0","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","34.3","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","32.8","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.2","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","#N/A","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","36.4","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","#N/A","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7"
"1964:Q3","34.8","34.8","34.8","35.1","35.1","35.1","35.1","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","33.7","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","36.6","#N/A","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","#N/A","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","36.1","44.9","44.9","44.9","44.9","44.9","44.9","44.9","44.9"
"1964:Q4","35.3","35.3","35.3","35.9","35.9","35.9","35.9","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","36.2","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","#N/A","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","38.3","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","#N/A","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","36.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9"
"1965:Q1","36.0","36.0","36.0","36.9","36.9","36.9","36.9","37.0","37.0","37.0","37.0","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","37.2","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","35.6","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.1","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","#N/A","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","#N/A","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9","46.9"
"1965:Q2","36.7","36.7","36.7","38.0","38.0","38.0","38.0","37.9","37.9","37.9","37.9","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.3","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","39.2","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","#N/A","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","#N/A","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","48.1","48.1","48.1","48.1","48.1","48.1","48.1","48.1"
"1965:Q3","37.5","37.5","37.5","38.9","38.9","38.9","38.9","38.8","38.8","38.8","38.8","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","39.4","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","#N/A","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","#N/A","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","49.2","49.2","49.2","49.2","49.2","49.2","49.2","49.2"
"1965:Q4","#N/A","38.2","38.2","39.7","39.7","39.7","39.7","39.7","39.7","39.7","39.7","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","41.0","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","40.9","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","41.6","#N/A","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","#N/A","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9"
"1966:Q1","#N/A","#N/A","39.5","41.0","41.0","41.0","41.0","40.7","40.7","40.7","40.7","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.1","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","#N/A","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","43.2","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","#N/A","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3"
"1966:Q2","#N/A","#N/A","#N/A","42.1","42.1","42.1","42.1","41.9","41.9","41.9","41.9","42.4","42.4","42.4","42.4","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","41.3","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.8","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","43.6","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","#N/A","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","44.6","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","#N/A","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","43.2","43.2","43.2","42.8","42.8","42.8","42.8","43.4","43.4","43.4","43.4","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","44.2","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","45.0","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","44.8","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","45.4","#N/A","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","45.9","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","#N/A","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","44.0","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","44.8","44.8","44.3","44.3","44.3","44.3","45.1","45.1","45.1","45.1","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","43.7","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","46.3","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","47.1","#N/A","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","47.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","#N/A","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8"
