"DATE","PCONHH09M8","PCONHH09M9","PCONHH09M10","PCONHH09M11","PCONHH09M12","PCONHH10M1","PCONHH10M2","PCONHH10M3","PCONHH10M4","PCONHH10M5","PCONHH10M6","PCONHH10M7","PCONHH10M8","PCONHH10M9","PCONHH10M10","PCONHH10M11","PCONHH10M12","PCONHH11M1","PCONHH11M2","PCONHH11M3","PCONHH11M4","PCONHH11M5","PCONHH11M6","PCONHH11M7","PCONHH11M8","PCONHH11M9","PCONHH11M10","PCONHH11M11","PCONHH11M12","PCONHH12M1","PCONHH12M2","PCONHH12M3","PCONHH12M4","PCONHH12M5","PCONHH12M6","PCONHH12M7","PCONHH12M8","PCONHH12M9","PCONHH12M10","PCONHH12M11","PCONHH12M12","PCONHH13M1","PCONHH13M2","PCONHH13M3","PCONHH13M4","PCONHH13M5","PCONHH13M6","PCONHH13M7","PCONHH13M8","PCONHH13M9","PCONHH13M10","PCONHH13M11","PCONHH13M12","PCONHH14M1","PCONHH14M2","PCONHH14M3","PCONHH14M4","PCONHH14M5","PCONHH14M6","PCONHH14M7","PCONHH14M8","PCONHH14M9","PCONHH14M10","PCONHH14M11","PCONHH14M12","PCONHH15M1","PCONHH15M2","PCONHH15M3","PCONHH15M4","PCONHH15M5","PCONHH15M6"
"2001:Q3","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.423","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","91.465","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.422","84.426","84.426","84.426","84.426","84.426","84.426","84.426","84.426","84.426","84.426","84.426"
"2001:Q4","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.494","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","91.536","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.498","84.502","84.502","84.502","84.502","84.502","84.502","84.502","84.502","84.502","84.502","84.502"
"2002:Q1","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.689","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","91.732","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.637","84.64","84.64","84.64","84.64","84.64","84.64","84.64","84.64","84.64","84.64","84.64"
"2002:Q2","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.4","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","92.442","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.296","85.297","85.297","85.297","85.297","85.297","85.297","85.297","85.297","85.297","85.297","85.297"
"2002:Q3","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.902","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","92.945","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762","85.762"
"2002:Q4","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.374","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","93.417","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.183","86.185","86.185","86.185","86.185","86.185","86.185","86.185","86.185","86.185","86.185","86.185"
"2003:Q1","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.065","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","94.106","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.822","86.824","86.824","86.824","86.824","86.824","86.824","86.824","86.824","86.824","86.824","86.824"
"2003:Q2","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.168","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","94.208","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.929","86.927","86.927","86.927","86.927","86.927","86.927","86.927","86.927","86.927","86.927","86.927"
"2003:Q3","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.791","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","94.827","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.479","87.477","87.477","87.477","87.477","87.477","87.477","87.477","87.477","87.477","87.477","87.477"
"2003:Q4","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.251","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","95.282","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848","87.848"
