"DATE","P10M1","P10M2","P10M3","P10M4","P10M5","P10M6","P10M7","P10M8","P10M9","P10M10","P10M11","P10M12","P11M1","P11M2","P11M3","P11M4","P11M5","P11M6","P11M7","P11M8","P11M9","P11M10","P11M11","P11M12","P12M1","P12M2","P12M3","P12M4","P12M5","P12M6","P12M7","P12M8","P12M9","P12M10","P12M11","P12M12","P13M1","P13M2","P13M3","P13M4","P13M5","P13M6","P13M7","P13M8","P13M9","P13M10","P13M11","P13M12","P14M1","P14M2","P14M3","P14M4","P14M5","P14M6","P14M7","P14M8","P14M9","P14M10","P14M11","P14M12","P15M1","P15M2","P15M3","P15M4","P15M5"
"1979:Q3","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.26","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","44.298","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.24","41.235","41.235","41.235","41.235","41.235","41.235","41.235","41.235","41.235","41.235"
"1979:Q4","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.136","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","45.175","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.049","42.044","42.044","42.044","42.044","42.044","42.044","42.044","42.044","42.044","42.044"
"1980:Q1","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.126","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.96","42.955","42.955","42.955","42.955","42.955","42.955","42.955","42.955","42.955","42.955"
"1980:Q2","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.156","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","47.196","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.901","43.895","43.895","43.895","43.895","43.895","43.895","43.895","43.895","43.895","43.895"
"1980:Q3","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.232","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","48.273","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.909","44.903","44.903","44.903","44.903","44.903","44.903","44.903","44.903","44.903","44.903"
"1980:Q4","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.591","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","49.633","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.17","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165","46.165"
"1981:Q1","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.894","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","50.937","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.363","47.358","47.358","47.358","47.358","47.358","47.358","47.358","47.358","47.358","47.358"
"1981:Q2","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.802","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","51.847","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.202","48.197","48.197","48.197","48.197","48.197","48.197","48.197","48.197","48.197","48.197"
"1981:Q3","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.754","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","52.799","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.101","49.096","49.096","49.096","49.096","49.096","49.096","49.096","49.096","49.096","49.096"
"1981:Q4","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.674","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","53.72","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.985","49.98","49.98","49.98","49.98","49.98","49.98","49.98","49.98","49.98","49.98"
