"DATE","RCONHH09M8","RCONHH09M9","RCONHH09M10","RCONHH09M11","RCONHH09M12","RCONHH10M1","RCONHH10M2","RCONHH10M3","RCONHH10M4","RCONHH10M5","RCONHH10M6","RCONHH10M7","RCONHH10M8","RCONHH10M9","RCONHH10M10","RCONHH10M11","RCONHH10M12","RCONHH11M1","RCONHH11M2","RCONHH11M3","RCONHH11M4","RCONHH11M5","RCONHH11M6","RCONHH11M7","RCONHH11M8","RCONHH11M9","RCONHH11M10","RCONHH11M11","RCONHH11M12","RCONHH12M1","RCONHH12M2","RCONHH12M3","RCONHH12M4","RCONHH12M5","RCONHH12M6","RCONHH12M7","RCONHH12M8","RCONHH12M9","RCONHH12M10","RCONHH12M11","RCONHH12M12","RCONHH13M1","RCONHH13M2","RCONHH13M3","RCONHH13M4","RCONHH13M5","RCONHH13M6","RCONHH13M7","RCONHH13M8","RCONHH13M9","RCONHH13M10","RCONHH13M11","RCONHH13M12","RCONHH14M1","RCONHH14M2","RCONHH14M3","RCONHH14M4","RCONHH14M5","RCONHH14M6","RCONHH14M7","RCONHH14M8","RCONHH14M9","RCONHH14M10","RCONHH14M11","RCONHH14M12","RCONHH15M1","RCONHH15M2","RCONHH15M3","RCONHH15M4","RCONHH15M5","RCONHH15M6"
"2011:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9197.797","9200.103","9202.123","9202.123","9202.123","9202.123","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","9196.669","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10092.173","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053","10041.053"
"2012:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9266.892","9261.691","9260.058","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","9254.698","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10164.435","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782","10108.782"
"2012:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9286.321","9292.724","9280.485","9280.485","9280.485","9280.485","9280.485","9280.485","9280.485","9280.485","9280.485","9280.485","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10203.706","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096","10132.096"
"2012:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9321.756","9306.929","9320.652","9320.652","9320.652","9320.652","9320.652","9320.652","9320.652","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10245.446","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62","10180.62"
"2012:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9370.932","9367.839","9364.814","9364.814","9364.814","9364.814","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10283.167","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586","10220.586"
"2013:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","9444.716","9449.654","9435.835","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10355.87","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622","10317.622"
"2013:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10411.0","10410.97","10406.323","10406.323","10406.323","10406.323","10406.323","10406.323","10406.323","10406.323","10406.323","10406.323","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411","10363.411"
"2013:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10445.171","10441.684","10455.396","10455.396","10455.396","10455.396","10455.396","10455.396","10455.396","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812","10411.812"
"2013:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10542.179","10521.901","10544.108","10544.108","10544.108","10544.108","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618","10502.618"
"2014:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","10625.965","10627.784","10571.754","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799","10535.799"
