"DATE","CUM10M1","CUM10M2","CUM10M3","CUM10M4","CUM10M5","CUM10M6","CUM10M7","CUM10M8","CUM10M9","CUM10M10","CUM10M11","CUM10M12","CUM11M1","CUM11M2","CUM11M3","CUM11M4","CUM11M5","CUM11M6","CUM11M7","CUM11M8","CUM11M9","CUM11M10","CUM11M11","CUM11M12","CUM12M1","CUM12M2","CUM12M3","CUM12M4","CUM12M5","CUM12M6","CUM12M7","CUM12M8","CUM12M9","CUM12M10","CUM12M11","CUM12M12","CUM13M1","CUM13M2","CUM13M3","CUM13M4","CUM13M5","CUM13M6","CUM13M7","CUM13M8","CUM13M9","CUM13M10","CUM13M11","CUM13M12","CUM14M1","CUM14M2","CUM14M3","CUM14M4","CUM14M5","CUM14M6","CUM14M7","CUM14M8","CUM14M9","CUM14M10","CUM14M11","CUM14M12","CUM15M1","CUM15M2","CUM15M3","CUM15M4","CUM15M5"
"1966:12","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0"
"1967:01","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8","89.8"
"1967:02","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4"
"1967:03","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5"
"1967:04","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7"
"1967:05","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6"
"1967:06","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1"
"1967:07","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3","85.3"
"1967:08","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5"
"1967:09","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1","86.1"
"1967:10","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4","86.4"
"1967:11","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5"
"1967:12","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0"
"1968:01","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4"
"1968:02","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4"
"1968:03","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2","87.2"
"1968:04","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9"
"1968:05","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6","87.6"
"1968:06","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4","87.4"
"1968:07","86.8","86.8","86.8","86.8","86.8","86.8","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7"
"1968:08","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8"
"1968:09","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5"
"1968:10","86.7","86.7","86.7","86.7","86.7","86.7","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6"
"1968:11","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5","87.5"
"1968:12","87.2","87.2","87.2","87.2","87.2","87.2","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1"
"1969:01","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3"
"1969:02","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7","87.7"
"1969:03","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0","88.0"
"1969:04","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3"
"1969:05","86.7","86.7","86.7","86.7","86.7","86.7","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6","86.6"
"1969:06","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8"
"1969:07","87.2","87.2","87.2","87.2","87.2","87.2","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1","87.1"
"1969:08","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9","86.9"
"1969:09","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5"
"1969:10","86.3","86.3","86.3","86.3","86.3","86.3","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2"
"1969:11","85.1","85.1","85.1","85.1","85.1","85.1","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0"
"1969:12","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2","84.2"
"1970:01","82.2","82.2","82.2","82.2","82.2","82.2","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1","82.1"
"1970:02","82.0","82.0","82.0","82.0","82.0","82.0","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9","81.9"
"1970:03","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4","81.4"
"1970:04","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9","80.9"
"1970:05","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.5","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4"
"1970:06","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0"
"1970:07","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9"
"1970:08","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2","79.2"
"1970:09","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2","78.2"
"1970:10","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3"
"1970:11","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6"
"1970:12","77.4","77.4","77.4","77.4","77.4","77.4","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3"
"1971:01","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8"
