"DATE","nconhh09Q3","nconhh09Q4","nconhh10Q1","nconhh10Q2","nconhh10Q3","nconhh10Q4","nconhh11Q1","nconhh11Q2","nconhh11Q3","nconhh11Q4","nconhh12Q1","nconhh12Q2","nconhh12Q3","nconhh12Q4","nconhh13Q1","nconhh13Q2","nconhh13Q3","nconhh13Q4","nconhh14Q1","nconhh14Q2","nconhh14Q3","nconhh14Q4","nconhh15Q1","nconhh15Q2"
"1982:Q3","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.117","2050.76","2050.76","2050.76","2050.76","2050.76","2050.76","2050.76","2050.76"
"1982:Q4","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.181","2111.789","2111.789","2111.789","2111.789","2111.789","2111.789","2111.789","2111.789"
"1983:Q1","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2150.582","2151.016","2151.016","2151.016","2151.016","2151.016","2151.016","2151.016","2151.016"
"1983:Q2","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.205","2214.429","2214.429","2214.429","2214.429","2214.429","2214.429","2214.429","2214.429"
"1983:Q3","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.289","2283.275","2283.275","2283.275","2283.275","2283.275","2283.275","2283.275","2283.275"
"1983:Q4","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.601","2334.328","2334.328","2334.328","2334.328","2334.328","2334.328","2334.328","2334.328"
"1984:Q1","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2380.167","2379.618","2379.618","2379.618","2379.618","2379.618","2379.618","2379.618","2379.618"
"1984:Q2","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2437.073","2436.328","2436.328","2436.328","2436.328","2436.328","2436.328","2436.328","2436.328"
"1984:Q3","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2474.537","2473.716","2473.716","2473.716","2473.716","2473.716","2473.716","2473.716","2473.716"
"1984:Q4","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2522.191","2521.42","2521.42","2521.42","2521.42","2521.42","2521.42","2521.42","2521.42"
