"DATE","NCPROFAT65M9","NCPROFAT65M10","NCPROFAT65M11","NCPROFAT65M12","NCPROFAT66M1","NCPROFAT66M2","NCPROFAT66M3","NCPROFAT66M4","NCPROFAT66M5","NCPROFAT66M6","NCPROFAT66M7","NCPROFAT66M8","NCPROFAT66M9","NCPROFAT66M10","NCPROFAT66M11","NCPROFAT66M12","NCPROFAT67M1","NCPROFAT67M2","NCPROFAT67M3","NCPROFAT67M4","NCPROFAT67M5","NCPROFAT67M6","NCPROFAT67M7","NCPROFAT67M8","NCPROFAT67M9","NCPROFAT67M10","NCPROFAT67M11","NCPROFAT67M12","NCPROFAT68M1","NCPROFAT68M2","NCPROFAT68M3","NCPROFAT68M4","NCPROFAT68M5","NCPROFAT68M6","NCPROFAT68M7","NCPROFAT68M8","NCPROFAT68M9","NCPROFAT68M10","NCPROFAT68M11","NCPROFAT68M12","NCPROFAT69M1","NCPROFAT69M2","NCPROFAT69M3","NCPROFAT69M4","NCPROFAT69M5","NCPROFAT69M6","NCPROFAT69M7","NCPROFAT69M8","NCPROFAT69M9","NCPROFAT69M10","NCPROFAT69M11","NCPROFAT69M12"
"1955:Q1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1","26.1"
"1955:Q2","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5"
"1955:Q3","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4"
"1955:Q4","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3"
"1956:Q1","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2"
"1956:Q2","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7","27.7"
"1956:Q3","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0"
"1956:Q4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4","27.4"
"1957:Q1","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6","27.6"
"1957:Q2","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5","26.5"
"1957:Q3","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0","26.0"
"1957:Q4","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7"
"1958:Q1","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8","19.8"
"1958:Q2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2","20.2"
