"DATE","NOUTPUT65M11","NOUTPUT65M12","NOUTPUT66M1","NOUTPUT66M2","NOUTPUT66M3","NOUTPUT66M4","NOUTPUT66M5","NOUTPUT66M6","NOUTPUT66M7","NOUTPUT66M8","NOUTPUT66M9","NOUTPUT66M10","NOUTPUT66M11","NOUTPUT66M12","NOUTPUT67M1","NOUTPUT67M2","NOUTPUT67M3","NOUTPUT67M4","NOUTPUT67M5","NOUTPUT67M6","NOUTPUT67M7","NOUTPUT67M8","NOUTPUT67M9","NOUTPUT67M10","NOUTPUT67M11","NOUTPUT67M12","NOUTPUT68M1","NOUTPUT68M2","NOUTPUT68M3","NOUTPUT68M4","NOUTPUT68M5","NOUTPUT68M6","NOUTPUT68M7","NOUTPUT68M8","NOUTPUT68M9","NOUTPUT68M10","NOUTPUT68M11","NOUTPUT68M12","NOUTPUT69M1","NOUTPUT69M2","NOUTPUT69M3","NOUTPUT69M4","NOUTPUT69M5","NOUTPUT69M6","NOUTPUT69M7","NOUTPUT69M8","NOUTPUT69M9","NOUTPUT69M10","NOUTPUT69M11","NOUTPUT69M12"
"1952:Q3","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6","345.6"
"1952:Q4","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7","357.7"
"1953:Q1","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2","364.2"
"1953:Q2","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5","367.5"
"1953:Q3","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8","365.8"
"1953:Q4","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8","360.8"
"1954:Q1","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7","360.7"
"1954:Q2","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4","360.4"
"1954:Q3","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7","364.7"
"1954:Q4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4","373.4"
