"DATE","EMPLOY64M12","EMPLOY65M1","EMPLOY65M2","EMPLOY65M3","EMPLOY65M4","EMPLOY65M5","EMPLOY65M6","EMPLOY65M7","EMPLOY65M8","EMPLOY65M9","EMPLOY65M10","EMPLOY65M11","EMPLOY65M12","EMPLOY66M1","EMPLOY66M2","EMPLOY66M3","EMPLOY66M4","EMPLOY66M5","EMPLOY66M6","EMPLOY66M7","EMPLOY66M8","EMPLOY66M9","EMPLOY66M10","EMPLOY66M11","EMPLOY66M12","EMPLOY67M1","EMPLOY67M2","EMPLOY67M3","EMPLOY67M4","EMPLOY67M5","EMPLOY67M6","EMPLOY67M7","EMPLOY67M8","EMPLOY67M9","EMPLOY67M10","EMPLOY67M11","EMPLOY67M12","EMPLOY68M1","EMPLOY68M2","EMPLOY68M3","EMPLOY68M4","EMPLOY68M5","EMPLOY68M6","EMPLOY68M7","EMPLOY68M8","EMPLOY68M9","EMPLOY68M10","EMPLOY68M11","EMPLOY68M12","EMPLOY69M1","EMPLOY69M2","EMPLOY69M3","EMPLOY69M4","EMPLOY69M5","EMPLOY69M6","EMPLOY69M7","EMPLOY69M8","EMPLOY69M9","EMPLOY69M10","EMPLOY69M11","EMPLOY69M12"
"1953:01","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0","50084.0"
"1953:02","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0","50320.0"
"1953:03","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0","50398.0"
"1953:04","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0","50418.0"
"1953:05","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0","50394.0"
"1953:06","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0","50416.0"
"1953:07","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0","50413.0"
"1953:08","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0","50304.0"
"1953:09","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0","50173.0"
"1953:10","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0","50115.0"
"1953:11","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0","49845.0"
"1953:12","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0","49673.0"
"1954:01","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49384.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0","49380.0"
"1954:02","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49310.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0","49300.0"
"1954:03","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49117.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0","49095.0"
"1954:04","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49017.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0","49008.0"
"1954:05","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48875.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0","48856.0"
"1954:06","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48812.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0","48810.0"
"1954:07","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48715.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0","48719.0"
"1954:08","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48680.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0","48691.0"
"1954:09","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48737.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0","48750.0"
"1954:10","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48843.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0","48858.0"
"1954:11","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49134.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0","49129.0"
"1954:12","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49287.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0","49277.0"
"1955:01","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49394.0","49388.0","49388.0","49388.0","49388.0","49388.0","49388.0","49388.0","49388.0","49388.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0","49379.0"
"1955:02","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49573.0","49555.0","49555.0","49555.0","49555.0","49555.0","49555.0","49555.0","49555.0","49555.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0","49548.0"
"1955:03","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49871.0","49870.0","49870.0","49870.0","49870.0","49870.0","49870.0","49870.0","49870.0","49870.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0","49864.0"
"1955:04","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50130.0","50114.0","50114.0","50114.0","50114.0","50114.0","50114.0","50114.0","50114.0","50114.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0","50123.0"
"1955:05","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50452.0","50446.0","50446.0","50446.0","50446.0","50446.0","50446.0","50446.0","50446.0","50446.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0","50440.0"
"1955:06","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50737.0","50730.0","50730.0","50730.0","50730.0","50730.0","50730.0","50730.0","50730.0","50730.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0","50739.0"
"1955:07","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50854.0","50857.0","50857.0","50857.0","50857.0","50857.0","50857.0","50857.0","50857.0","50857.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0","50864.0"
"1955:08","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50941.0","50949.0","50949.0","50949.0","50949.0","50949.0","50949.0","50949.0","50949.0","50949.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0","50957.0"
"1955:09","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51098.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0","51114.0"
"1955:10","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51306.0","51329.0","51329.0","51329.0","51329.0","51329.0","51329.0","51329.0","51329.0","51329.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0","51334.0"
"1955:11","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51534.0","51514.0","51514.0","51514.0","51514.0","51514.0","51514.0","51514.0","51514.0","51514.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0","51520.0"
"1955:12","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51774.0","51746.0","51746.0","51746.0","51746.0","51746.0","51746.0","51746.0","51746.0","51746.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0","51758.0"
"1956:01","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51922.0","51909.0","51909.0","51909.0","51909.0","51909.0","51909.0","51909.0","51909.0","51909.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51906.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0","51921.0"
"1956:02","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52145.0","52138.0","52138.0","52138.0","52138.0","52138.0","52138.0","52138.0","52138.0","52138.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0","52132.0"
"1956:03","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52168.0","52152.0","52152.0","52152.0","52152.0","52152.0","52152.0","52152.0","52152.0","52152.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52154.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0","52180.0"
"1956:04","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52305.0","52310.0","52310.0","52310.0","52310.0","52310.0","52310.0","52310.0","52310.0","52310.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52307.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0","52325.0"
"1956:05","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52415.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0","52418.0"
"1956:06","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52500.0","52503.0","52503.0","52503.0","52503.0","52503.0","52503.0","52503.0","52503.0","52503.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52511.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0","52498.0"
