"DATE","RGSL10M1","RGSL10M2","RGSL10M3","RGSL10M4","RGSL10M5","RGSL10M6","RGSL10M7","RGSL10M8","RGSL10M9","RGSL10M10","RGSL10M11","RGSL10M12","RGSL11M1","RGSL11M2","RGSL11M3","RGSL11M4","RGSL11M5","RGSL11M6","RGSL11M7","RGSL11M8","RGSL11M9","RGSL11M10","RGSL11M11","RGSL11M12","RGSL12M1","RGSL12M2","RGSL12M3","RGSL12M4","RGSL12M5","RGSL12M6","RGSL12M7","RGSL12M8","RGSL12M9","RGSL12M10","RGSL12M11","RGSL12M12","RGSL13M1","RGSL13M2","RGSL13M3","RGSL13M4","RGSL13M5","RGSL13M6","RGSL13M7","RGSL13M8","RGSL13M9","RGSL13M10","RGSL13M11","RGSL13M12","RGSL14M1","RGSL14M2","RGSL14M3","RGSL14M4","RGSL14M5","RGSL14M6","RGSL14M7","RGSL14M8","RGSL14M9","RGSL14M10","RGSL14M11","RGSL14M12","RGSL15M1","RGSL15M2","RGSL15M3","RGSL15M4","RGSL15M5","RGSL15M6","RGSL15M7","RGSL15M8","RGSL15M9","RGSL15M10","RGSL15M11"
"1977:Q4","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.3","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0","936.0"
"1978:Q1","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.4","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","771.5","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1","936.1"
"1978:Q2","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.0","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","794.2","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9","963.9"
"1978:Q3","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","802.9","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","803.1","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0","975.0"
"1978:Q4","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.3","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","810.5","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3","984.3"
"1979:Q1","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.0","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","797.2","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8","967.8"
"1979:Q2","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.4","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","804.6","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7","976.7"
"1979:Q3","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.4","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","807.5","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0","980.0"
"1979:Q4","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","816.7","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1","991.1"
"1980:Q1","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.8","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","820.5","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8","995.8"
