"DATE","RCONDM98M11","RCONDM98M12","RCONDM99M1","RCONDM99M2","RCONDM99M3","RCONDM99M4","RCONDM99M5","RCONDM99M6","RCONDM99M7","RCONDM99M8","RCONDM99M9","RCONDM99M10","RCONDM99M11","RCONDM99M12","RCONDM00M1","RCONDM00M2","RCONDM00M3","RCONDM00M4","RCONDM00M5","RCONDM00M6","RCONDM00M7","RCONDM00M8","RCONDM00M9","RCONDM00M10","RCONDM00M11","RCONDM00M12","RCONDM01M1","RCONDM01M2","RCONDM01M3","RCONDM01M4","RCONDM01M5","RCONDM01M6","RCONDM01M7","RCONDM01M8","RCONDM01M9","RCONDM01M10","RCONDM01M11","RCONDM01M12","RCONDM02M1","RCONDM02M2","RCONDM02M3","RCONDM02M4","RCONDM02M5","RCONDM02M6","RCONDM02M7","RCONDM02M8","RCONDM02M9","RCONDM02M10","RCONDM02M11","RCONDM02M12","RCONDM03M1","RCONDM03M2","RCONDM03M3","RCONDM03M4","RCONDM03M5","RCONDM03M6","RCONDM03M7","RCONDM03M8","RCONDM03M9","RCONDM03M10","RCONDM03M11","RCONDM03M12","RCONDM04M1","RCONDM04M2","RCONDM04M3","RCONDM04M4","RCONDM04M5","RCONDM04M6","RCONDM04M7","RCONDM04M8","RCONDM04M9","RCONDM04M10","RCONDM04M11","RCONDM04M12","RCONDM05M1","RCONDM05M2","RCONDM05M3","RCONDM05M4","RCONDM05M5","RCONDM05M6","RCONDM05M7","RCONDM05M8","RCONDM05M9","RCONDM05M10","RCONDM05M11","RCONDM05M12","RCONDM06M1","RCONDM06M2","RCONDM06M3","RCONDM06M4","RCONDM06M5","RCONDM06M6","RCONDM06M7","RCONDM06M8","RCONDM06M9","RCONDM06M10","RCONDM06M11","RCONDM06M12","RCONDM07M1","RCONDM07M2","RCONDM07M3","RCONDM07M4","RCONDM07M5","RCONDM07M6","RCONDM07M7","RCONDM07M8","RCONDM07M9","RCONDM07M10","RCONDM07M11","RCONDM07M12","RCONDM08M1","RCONDM08M2","RCONDM08M3","RCONDM08M4","RCONDM08M5","RCONDM08M6","RCONDM08M7","RCONDM08M8","RCONDM08M9","RCONDM08M10","RCONDM08M11","RCONDM08M12","RCONDM09M1","RCONDM09M2","RCONDM09M3","RCONDM09M4","RCONDM09M5","RCONDM09M6","RCONDM09M7","RCONDM09M8","RCONDM09M9","RCONDM09M10","RCONDM09M11","RCONDM09M12","RCONDM10M1","RCONDM10M2","RCONDM10M3","RCONDM10M4","RCONDM10M5","RCONDM10M6","RCONDM10M7","RCONDM10M8","RCONDM10M9","RCONDM10M10","RCONDM10M11","RCONDM10M12","RCONDM11M1","RCONDM11M2","RCONDM11M3","RCONDM11M4","RCONDM11M5","RCONDM11M6","RCONDM11M7","RCONDM11M8","RCONDM11M9","RCONDM11M10","RCONDM11M11","RCONDM11M12","RCONDM12M1","RCONDM12M2","RCONDM12M3","RCONDM12M4","RCONDM12M5","RCONDM12M6","RCONDM12M7","RCONDM12M8","RCONDM12M9","RCONDM12M10","RCONDM12M11","RCONDM12M12","RCONDM13M1","RCONDM13M2","RCONDM13M3","RCONDM13M4","RCONDM13M5","RCONDM13M6","RCONDM13M7","RCONDM13M8","RCONDM13M9","RCONDM13M10","RCONDM13M11","RCONDM13M12","RCONDM14M1","RCONDM14M2","RCONDM14M3","RCONDM14M4","RCONDM14M5","RCONDM14M6","RCONDM14M7","RCONDM14M8","RCONDM14M9","RCONDM14M10","RCONDM14M11","RCONDM14M12","RCONDM15M1","RCONDM15M2","RCONDM15M3","RCONDM15M4","RCONDM15M5"
"1986:04","434.215","434.215","434.215","434.215","434.215","434.215","434.215","434.215","434.215","434.215","434.215","434.215","#N/A","432.235","432.235","432.235","432.235","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","432.2","#N/A","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","373.525","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","372.762","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926","346.926"
"1986:05","442.843","442.843","442.843","442.843","442.843","442.843","442.843","442.843","442.843","442.843","442.843","442.843","#N/A","441.402","441.402","441.402","441.402","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","441.4","#N/A","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","406.9","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","381.554","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","380.783","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396","354.396"
"1986:06","428.993","428.993","428.993","428.993","428.993","428.993","428.993","428.993","428.993","428.993","428.993","428.993","#N/A","427.858","427.858","427.858","427.858","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","427.9","#N/A","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","394.5","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","370.419","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","369.695","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071","344.071"
"1986:07","440.972","440.972","440.972","440.972","440.972","440.972","440.972","440.972","440.972","440.972","440.972","440.972","#N/A","439.91","439.91","439.91","439.91","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","#N/A","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","405.8","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","380.722","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","379.996","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669","353.669"
"1986:08","459.736","459.736","459.736","459.736","459.736","459.736","459.736","459.736","459.736","459.736","459.736","459.736","#N/A","459.04","459.04","459.04","459.04","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","459.0","#N/A","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","423.7","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","396.686","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","395.948","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507","368.507"
"1986:09","517.045","517.045","517.045","517.045","517.045","517.045","517.045","517.045","517.045","517.045","517.045","517.045","#N/A","515.94","515.94","515.94","515.94","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","515.9","#N/A","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","476.7","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.924","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","443.095","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398","412.398"
"1986:10","459.526","459.526","459.526","459.526","459.526","459.526","459.526","459.526","459.526","459.526","459.526","459.526","#N/A","458.565","458.565","458.565","458.565","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","458.6","#N/A","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","423.2","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","396.143","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","395.397","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996","367.996"
"1986:11","442.462","442.462","442.462","442.462","442.462","442.462","442.462","442.462","442.462","442.462","442.462","442.462","#N/A","441.482","441.482","441.482","441.482","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","441.5","#N/A","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","381.484","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","380.749","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365","354.365"
"1986:12","494.197","494.197","494.197","494.197","494.197","494.197","494.197","494.197","494.197","494.197","494.197","494.197","#N/A","493.544","493.544","493.544","493.544","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","#N/A","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","455.6","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","424.4","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","423.571","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223","394.223"
"1987:01","416.574","416.574","416.574","416.574","416.574","416.574","416.574","416.574","416.574","416.574","416.574","416.574","#N/A","415.862","415.862","415.862","415.862","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","415.9","#N/A","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","383.5","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","360.656","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","359.933","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994","334.994"
"1987:02","445.1","445.1","445.1","445.1","445.1","445.1","445.1","445.1","445.1","445.1","445.1","445.1","#N/A","444.263","444.263","444.263","444.263","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","444.3","#N/A","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","409.7","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","384.762","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","383.984","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384","357.384"
"1987:03","445.784","445.784","445.784","445.784","445.784","445.784","445.784","445.784","445.784","445.784","445.784","445.784","#N/A","445.582","445.582","445.582","445.582","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","#N/A","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","410.8","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","385.428","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","384.636","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988","357.988"
"1987:04","452.96","452.96","452.96","452.96","452.96","452.96","452.96","452.96","452.96","452.96","452.96","452.96","#N/A","453.362","453.362","453.362","453.362","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","#N/A","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","418.0","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.974","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","391.162","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056","364.056"
"1987:05","448.759","448.759","448.759","448.759","448.759","448.759","448.759","448.759","448.759","448.759","448.759","448.759","#N/A","448.781","448.781","448.781","448.781","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","448.8","#N/A","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.999","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","387.175","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352","360.352"
"1987:06","458.769","458.769","458.769","458.769","458.769","458.769","458.769","458.769","458.769","458.769","458.769","458.769","#N/A","459.255","459.255","459.255","459.255","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","459.3","#N/A","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","423.5","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","397.353","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","396.51","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029","369.029"
