"DATE","HG10M1","HG10M2","HG10M3","HG10M4","HG10M5","HG10M6","HG10M7","HG10M8","HG10M9","HG10M10","HG10M11","HG10M12","HG11M1","HG11M2","HG11M3","HG11M4","HG11M5","HG11M6","HG11M7","HG11M8","HG11M9","HG11M10","HG11M11","HG11M12","HG12M1","HG12M2","HG12M3","HG12M4","HG12M5","HG12M6","HG12M7","HG12M8","HG12M9","HG12M10","HG12M11","HG12M12","HG13M1","HG13M2","HG13M3","HG13M4","HG13M5","HG13M6","HG13M7","HG13M8","HG13M9","HG13M10","HG13M11","HG13M12","HG14M1","HG14M2","HG14M3","HG14M4","HG14M5","HG14M6","HG14M7","HG14M8","HG14M9","HG14M10","HG14M11","HG14M12","HG15M1","HG15M2","HG15M3","HG15M4","HG15M5"
"1987:02","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8"
"1987:03","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1"
"1987:04","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8","104.8"
"1987:05","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8"
"1987:06","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3"
"1987:07","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9"
"1987:08","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9","105.9"
"1987:09","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7"
"1987:10","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2"
"1987:11","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2"
"1987:12","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8"
"1988:01","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6"
"1988:02","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4","107.4"
"1988:03","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7","107.7"
"1988:04","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9"
"1988:05","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"1988:06","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6"
"1988:07","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6"
"1988:08","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9"
"1988:09","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"1988:10","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7"
"1988:11","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0","109.0"
"1988:12","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6"
"1989:01","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1"
"1989:02","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9","108.9"
"1989:03","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1","109.1"
"1989:04","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2","109.2"
"1989:05","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6"
"1989:06","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"1989:07","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4"
"1989:08","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6","108.6"
"1989:09","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"1989:10","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2"
"1989:11","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3"
"1989:12","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9","106.9"
"1990:01","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0"
"1990:02","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.3","108.3","108.3","108.3"
"1990:03","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3"
"1990:04","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2"
"1990:05","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1"
"1990:06","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1"
"1990:07","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3"
"1990:08","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7"
"1990:09","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2"
"1990:10","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0"
"1990:11","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2"
"1990:12","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3"
"1991:01","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7"
"1991:02","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.8","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7"
"1991:03","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9"
