"DATE","HG10M1","HG10M2","HG10M3","HG10M4","HG10M5","HG10M6","HG10M7","HG10M8","HG10M9","HG10M10","HG10M11","HG10M12","HG11M1","HG11M2","HG11M3","HG11M4","HG11M5","HG11M6","HG11M7","HG11M8","HG11M9","HG11M10","HG11M11","HG11M12","HG12M1","HG12M2","HG12M3","HG12M4","HG12M5","HG12M6","HG12M7","HG12M8","HG12M9","HG12M10","HG12M11","HG12M12","HG13M1","HG13M2","HG13M3","HG13M4","HG13M5","HG13M6","HG13M7","HG13M8","HG13M9","HG13M10","HG13M11","HG13M12","HG14M1","HG14M2","HG14M3","HG14M4","HG14M5","HG14M6","HG14M7","HG14M8","HG14M9","HG14M10","HG14M11","HG14M12","HG15M1","HG15M2","HG15M3","HG15M4","HG15M5"
"1949:08","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0"
"1949:09","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4"
"1949:10","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5"
"1949:11","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6","82.6"
"1949:12","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2"
"1950:01","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9","83.9"
"1950:02","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0"
"1950:03","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2","86.2"
"1950:04","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5","88.5"
"1950:05","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8","90.8"
"1950:06","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6"
"1950:07","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1","94.1"
"1950:08","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6"
"1950:09","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8"
