"DATE","pconshh09Q3","pconshh09Q4","pconshh10Q1","pconshh10Q2","pconshh10Q3","pconshh10Q4","pconshh11Q1","pconshh11Q2","pconshh11Q3","pconshh11Q4","pconshh12Q1","pconshh12Q2","pconshh12Q3","pconshh12Q4","pconshh13Q1","pconshh13Q2","pconshh13Q3","pconshh13Q4","pconshh14Q1","pconshh14Q2","pconshh14Q3","pconshh14Q4","pconshh15Q1","pconshh15Q2"
"1992:Q1","67.932","67.932","67.932","67.932","67.932","67.932","67.932","67.932","67.927","67.927","67.927","67.927","67.927","67.927","67.927","67.927","61.285","61.285","61.285","61.285","61.286","61.286","61.286","61.286"
"1992:Q2","68.588","68.588","68.588","68.588","68.588","68.588","68.588","68.588","68.582","68.582","68.582","68.582","68.582","68.582","68.582","68.582","61.848","61.848","61.848","61.848","61.85","61.85","61.85","61.85"
"1992:Q3","69.149","69.149","69.149","69.149","69.149","69.149","69.149","69.149","69.143","69.143","69.143","69.143","69.143","69.143","69.143","69.143","62.336","62.336","62.336","62.336","62.338","62.338","62.338","62.338"
"1992:Q4","69.805","69.805","69.805","69.805","69.805","69.805","69.805","69.805","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","63.022","63.022","63.022","63.022","63.024","63.024","63.024","63.024"
"1993:Q1","70.315","70.315","70.315","70.315","70.315","70.315","70.315","70.315","70.309","70.309","70.309","70.309","70.309","70.309","70.309","70.309","63.601","63.601","63.601","63.601","63.602","63.602","63.602","63.602"
"1993:Q2","70.927","70.927","70.927","70.927","70.927","70.927","70.927","70.927","70.921","70.921","70.921","70.921","70.921","70.921","70.921","70.921","64.268","64.268","64.268","64.268","64.269","64.269","64.269","64.269"
"1993:Q3","71.412","71.412","71.412","71.412","71.412","71.412","71.412","71.412","71.406","71.406","71.406","71.406","71.406","71.406","71.406","71.406","64.797","64.797","64.797","64.797","64.798","64.798","64.798","64.798"
"1993:Q4","71.81","71.81","71.81","71.81","71.81","71.81","71.81","71.81","71.804","71.804","71.804","71.804","71.804","71.804","71.804","71.804","65.194","65.194","65.194","65.194","65.196","65.196","65.196","65.196"
"1994:Q1","72.329","72.329","72.329","72.329","72.329","72.329","72.329","72.329","72.323","72.323","72.323","72.323","72.323","72.323","72.323","72.323","65.622","65.622","65.622","65.622","65.624","65.624","65.624","65.624"
"1994:Q2","72.805","72.805","72.805","72.805","72.805","72.805","72.805","72.805","72.799","72.799","72.799","72.799","72.799","72.799","72.799","72.799","66.079","66.079","66.079","66.079","66.081","66.081","66.081","66.081"
"1994:Q3","73.359","73.359","73.359","73.359","73.359","73.359","73.359","73.359","73.353","73.353","73.353","73.353","73.353","73.353","73.353","73.353","66.471","66.471","66.471","66.471","66.473","66.473","66.473","66.473"
"1994:Q4","73.852","73.852","73.852","73.852","73.852","73.852","73.852","73.852","73.846","73.846","73.846","73.846","73.846","73.846","73.846","73.846","66.911","66.911","66.911","66.911","66.912","66.912","66.912","66.912"
"1995:Q1","74.491","74.491","74.491","74.491","74.491","74.491","74.491","74.491","74.484","74.484","74.484","74.484","74.484","74.484","74.484","74.484","67.422","67.422","67.422","67.422","67.424","67.424","67.424","67.424"
"1995:Q2","75.098","75.098","75.098","75.098","75.098","75.098","75.098","75.098","75.092","75.092","75.092","75.092","75.092","75.092","75.092","75.092","67.953","67.953","67.953","67.953","67.954","67.954","67.954","67.954"
"1995:Q3","75.588","75.588","75.588","75.588","75.588","75.588","75.588","75.588","75.581","75.581","75.581","75.581","75.581","75.581","75.581","75.581","68.373","68.373","68.373","68.373","68.375","68.375","68.375","68.375"
"1995:Q4","76.116","76.116","76.116","76.116","76.116","76.116","76.116","76.116","76.11","76.11","76.11","76.11","76.11","76.11","76.11","76.11","68.86","68.86","68.86","68.86","68.862","68.862","68.862","68.862"
"1996:Q1","76.537","76.537","76.537","76.537","76.537","76.537","76.537","76.537","76.53","76.53","76.53","76.53","76.53","76.53","76.53","76.53","69.212","69.212","69.212","69.212","69.214","69.214","69.214","69.214"
"1996:Q2","77.115","77.115","77.115","77.115","77.115","77.115","77.115","77.115","77.108","77.108","77.108","77.108","77.108","77.108","77.108","77.108","69.747","69.747","69.747","69.747","69.748","69.748","69.748","69.748"
"1996:Q3","77.764","77.764","77.764","77.764","77.764","77.764","77.764","77.764","77.757","77.757","77.757","77.757","77.757","77.757","77.757","77.757","70.298","70.298","70.298","70.298","70.3","70.3","70.3","70.3"
"1996:Q4","78.412","78.412","78.412","78.412","78.412","78.412","78.412","78.412","78.406","78.406","78.406","78.406","78.406","78.406","78.406","78.406","70.866","70.866","70.866","70.866","70.867","70.867","70.867","70.867"
"1997:Q1","78.981","78.981","78.981","78.981","78.981","78.981","78.981","78.981","78.974","78.974","78.974","78.974","78.974","78.974","78.974","78.974","71.292","71.292","71.292","71.292","71.294","71.294","71.294","71.294"
"1997:Q2","79.572","79.572","79.572","79.572","79.572","79.572","79.572","79.572","79.565","79.565","79.565","79.565","79.565","79.565","79.565","79.565","71.802","71.802","71.802","71.802","71.803","71.803","71.803","71.803"
"1997:Q3","80.018","80.018","80.018","80.018","80.018","80.018","80.018","80.018","80.012","80.012","80.012","80.012","80.012","80.012","80.012","80.012","72.175","72.175","72.175","72.175","72.177","72.177","72.177","72.177"
