"DATE","REX90M1","REX90M2","REX90M3","REX90M4","REX90M5","REX90M6","REX90M7","REX90M8","REX90M9","REX90M10","REX90M11","REX90M12","REX91M1","REX91M2","REX91M3","REX91M4","REX91M5","REX91M6","REX91M7","REX91M8","REX91M9","REX91M10","REX91M11","REX91M12","REX92M1","REX92M2","REX92M3","REX92M4","REX92M5","REX92M6","REX92M7","REX92M8","REX92M9","REX92M10","REX92M11","REX92M12","REX93M1","REX93M2","REX93M3","REX93M4","REX93M5","REX93M6","REX93M7","REX93M8","REX93M9","REX93M10","REX93M11","REX93M12","REX94M1","REX94M2","REX94M3","REX94M4","REX94M5","REX94M6","REX94M7","REX94M8","REX94M9","REX94M10","REX94M11","REX94M12","REX95M1","REX95M2","REX95M3","REX95M4","REX95M5","REX95M6","REX95M7","REX95M8","REX95M9","REX95M10","REX95M11","REX95M12","REX96M1","REX96M2","REX96M3","REX96M4","REX96M5","REX96M6","REX96M7","REX96M8","REX96M9","REX96M10","REX96M11","REX96M12","REX97M1","REX97M2","REX97M3","REX97M4","REX97M5","REX97M6","REX97M7","REX97M8","REX97M9","REX97M10","REX97M11","REX97M12","REX98M1","REX98M2","REX98M3","REX98M4","REX98M5","REX98M6","REX98M7","REX98M8","REX98M9","REX98M10","REX98M11","REX98M12","REX99M1","REX99M2","REX99M3","REX99M4","REX99M5","REX99M6","REX99M7","REX99M8","REX99M9","REX99M10","REX99M11","REX99M12"
"1949:Q3","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","64.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","#N/A","#N/A"
"1949:Q4","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","#N/A","#N/A"
"1950:Q1","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","56.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","49.3","#N/A","#N/A"
"1950:Q2","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","49.9","#N/A","#N/A"
"1950:Q3","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","52.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","#N/A","#N/A"
"1950:Q4","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","57.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","55.3","#N/A","#N/A"
"1951:Q1","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","64.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","59.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","#N/A","#N/A"
"1951:Q2","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","71.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","63.9","#N/A","#N/A"
"1951:Q3","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","75.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","#N/A","#N/A"
"1951:Q4","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","66.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","64.8","#N/A","#N/A"
"1952:Q1","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","68.0","#N/A","#N/A"
"1952:Q2","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5","#N/A","#N/A"
"1952:Q3","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","#N/A","#N/A"
"1952:Q4","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","56.2","#N/A","#N/A"
