"DATE","RCONND10M1","RCONND10M2","RCONND10M3","RCONND10M4","RCONND10M5","RCONND10M6","RCONND10M7","RCONND10M8","RCONND10M9","RCONND10M10","RCONND10M11","RCONND10M12","RCONND11M1","RCONND11M2","RCONND11M3","RCONND11M4","RCONND11M5","RCONND11M6","RCONND11M7","RCONND11M8","RCONND11M9","RCONND11M10","RCONND11M11","RCONND11M12","RCONND12M1","RCONND12M2","RCONND12M3","RCONND12M4","RCONND12M5","RCONND12M6","RCONND12M7","RCONND12M8","RCONND12M9","RCONND12M10","RCONND12M11","RCONND12M12","RCONND13M1","RCONND13M2","RCONND13M3","RCONND13M4","RCONND13M5","RCONND13M6","RCONND13M7","RCONND13M8","RCONND13M9","RCONND13M10","RCONND13M11","RCONND13M12","RCONND14M1","RCONND14M2","RCONND14M3","RCONND14M4","RCONND14M5","RCONND14M6","RCONND14M7","RCONND14M8","RCONND14M9","RCONND14M10","RCONND14M11","RCONND14M12","RCONND15M1","RCONND15M2","RCONND15M3","RCONND15M4","RCONND15M5"
"1993:Q3","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.4","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1357.2","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4","1477.4"
"1993:Q4","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.8","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1366.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7","1487.7"
"1994:Q1","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6","1507.6"
"1994:Q2","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1396.0","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1395.9","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5","1519.5"
"1994:Q3","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1408.0","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6","1532.6"
"1994:Q4","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1423.0","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1422.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9","1548.9"
"1995:Q1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.1","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1428.0","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4","1554.4"
"1995:Q2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.2","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1435.0","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1","1562.1"
"1995:Q3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.3","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1440.1","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6","1567.6"
"1995:Q4","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.7","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1447.5","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7","1575.7"
