"DATE","RCONS65M11","RCONS65M12","RCONS66M1","RCONS66M2","RCONS66M3","RCONS66M4","RCONS66M5","RCONS66M6","RCONS66M7","RCONS66M8","RCONS66M9","RCONS66M10","RCONS66M11","RCONS66M12","RCONS67M1","RCONS67M2","RCONS67M3","RCONS67M4","RCONS67M5","RCONS67M6","RCONS67M7","RCONS67M8","RCONS67M9","RCONS67M10","RCONS67M11","RCONS67M12","RCONS68M1","RCONS68M2","RCONS68M3","RCONS68M4","RCONS68M5","RCONS68M6","RCONS68M7","RCONS68M8","RCONS68M9","RCONS68M10","RCONS68M11","RCONS68M12","RCONS69M1","RCONS69M2","RCONS69M3","RCONS69M4","RCONS69M5","RCONS69M6","RCONS69M7","RCONS69M8","RCONS69M9","RCONS69M10","RCONS69M11","RCONS69M12"
"1956:Q1","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3"
"1956:Q2","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4"
"1956:Q3","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7"
"1956:Q4","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2","106.2"
"1957:Q1","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7"
"1957:Q2","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5","107.5"
"1957:Q3","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2","108.2"
"1957:Q4","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5"
"1958:Q1","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8"
"1958:Q2","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7","111.7"
"1958:Q3","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1"
"1958:Q4","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6","113.6"
"1959:Q1","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9"
"1959:Q2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2"
"1959:Q3","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5"
"1959:Q4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4","118.4"
"1960:Q1","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6","119.6"
"1960:Q2","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4","121.4"
"1960:Q3","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0","122.0"
"1960:Q4","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3","123.3"
"1961:Q1","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7","123.7"
"1961:Q2","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9","124.9"
"1961:Q3","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1","126.1"
"1961:Q4","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5","127.5"
"1962:Q1","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8"
