"DATE","RCONND65M11","RCONND65M12","RCONND66M1","RCONND66M2","RCONND66M3","RCONND66M4","RCONND66M5","RCONND66M6","RCONND66M7","RCONND66M8","RCONND66M9","RCONND66M10","RCONND66M11","RCONND66M12","RCONND67M1","RCONND67M2","RCONND67M3","RCONND67M4","RCONND67M5","RCONND67M6","RCONND67M7","RCONND67M8","RCONND67M9","RCONND67M10","RCONND67M11","RCONND67M12","RCONND68M1","RCONND68M2","RCONND68M3","RCONND68M4","RCONND68M5","RCONND68M6","RCONND68M7","RCONND68M8","RCONND68M9","RCONND68M10","RCONND68M11","RCONND68M12","RCONND69M1","RCONND69M2","RCONND69M3","RCONND69M4","RCONND69M5","RCONND69M6","RCONND69M7","RCONND69M8","RCONND69M9","RCONND69M10","RCONND69M11","RCONND69M12"
"1952:Q4","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6","123.6"
"1953:Q1","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5"
"1953:Q2","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0"
"1953:Q3","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1"
"1953:Q4","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9"
"1954:Q1","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6"
"1954:Q2","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1"
"1954:Q3","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7"
"1954:Q4","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8"
"1955:Q1","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8"
"1955:Q2","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0"
"1955:Q3","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1"
"1955:Q4","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9"
