"DATE","RCOND10M1","RCOND10M2","RCOND10M3","RCOND10M4","RCOND10M5","RCOND10M6","RCOND10M7","RCOND10M8","RCOND10M9","RCOND10M10","RCOND10M11","RCOND10M12","RCOND11M1","RCOND11M2","RCOND11M3","RCOND11M4","RCOND11M5","RCOND11M6","RCOND11M7","RCOND11M8","RCOND11M9","RCOND11M10","RCOND11M11","RCOND11M12","RCOND12M1","RCOND12M2","RCOND12M3","RCOND12M4","RCOND12M5","RCOND12M6","RCOND12M7","RCOND12M8","RCOND12M9","RCOND12M10","RCOND12M11","RCOND12M12","RCOND13M1","RCOND13M2","RCOND13M3","RCOND13M4","RCOND13M5","RCOND13M6","RCOND13M7","RCOND13M8","RCOND13M9","RCOND13M10","RCOND13M11","RCOND13M12","RCOND14M1","RCOND14M2","RCOND14M3","RCOND14M4","RCOND14M5","RCOND14M6","RCOND14M7","RCOND14M8","RCOND14M9","RCOND14M10","RCOND14M11","RCOND14M12","RCOND15M1","RCOND15M2","RCOND15M3","RCOND15M4","RCOND15M5","RCOND15M6","RCOND15M7","RCOND15M8","RCOND15M9","RCOND15M10","RCOND15M11"
"1967:Q3","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.1","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","144.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0","134.0"
"1967:Q4","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.5","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","144.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3"
"1968:Q1","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7","142.7"
"1968:Q2","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.7","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","156.6","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7","145.7"
"1968:Q3","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.8","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","163.6","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3","152.3"
"1968:Q4","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.8","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","162.6","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4"
"1969:Q1","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.9","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2","154.2"
"1969:Q2","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.4","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","165.3","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8","153.8"
"1969:Q3","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","165.0","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4","153.4"
"1969:Q4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.4","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","164.2","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8"
"1970:Q1","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.9","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4","150.4"
"1970:Q2","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","163.5","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2"
"1970:Q3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.3","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","164.1","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7"
