"DATE","RCOND10M1","RCOND10M2","RCOND10M3","RCOND10M4","RCOND10M5","RCOND10M6","RCOND10M7","RCOND10M8","RCOND10M9","RCOND10M10","RCOND10M11","RCOND10M12","RCOND11M1","RCOND11M2","RCOND11M3","RCOND11M4","RCOND11M5","RCOND11M6","RCOND11M7","RCOND11M8","RCOND11M9","RCOND11M10","RCOND11M11","RCOND11M12","RCOND12M1","RCOND12M2","RCOND12M3","RCOND12M4","RCOND12M5","RCOND12M6","RCOND12M7","RCOND12M8","RCOND12M9","RCOND12M10","RCOND12M11","RCOND12M12","RCOND13M1","RCOND13M2","RCOND13M3","RCOND13M4","RCOND13M5","RCOND13M6","RCOND13M7","RCOND13M8","RCOND13M9","RCOND13M10","RCOND13M11","RCOND13M12","RCOND14M1","RCOND14M2","RCOND14M3","RCOND14M4","RCOND14M5","RCOND14M6","RCOND14M7","RCOND14M8","RCOND14M9","RCOND14M10","RCOND14M11","RCOND14M12","RCOND15M1","RCOND15M2","RCOND15M3","RCOND15M4","RCOND15M5","RCOND15M6","RCOND15M7","RCOND15M8","RCOND15M9","RCOND15M10","RCOND15M11"
"1982:Q1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","241.1","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","240.5","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8","223.8"
"1982:Q2","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.9","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","241.4","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6","224.6"
"1982:Q3","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.8","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","243.3","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5","226.5"
"1982:Q4","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.9","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","254.4","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8","236.8"
"1983:Q1","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.5","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","257.0","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2","239.2"
"1983:Q2","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","276.3","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","275.7","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6","256.6"
"1983:Q3","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.9","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","286.3","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5","266.5"
"1983:Q4","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","301.0","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","300.4","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6","279.6"
"1984:Q1","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","312.4","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","311.8","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2","290.2"
"1984:Q2","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.7","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","319.0","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9","296.9"
"1984:Q3","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.8","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","319.1","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0","297.0"
"1984:Q4","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","330.2","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","329.5","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6","306.6"
"1985:Q1","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","341.7","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","340.9","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3","317.3"
"1985:Q2","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.8","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","345.0","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1","321.1"
"1985:Q3","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.9","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","367.1","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6","341.6"
"1985:Q4","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","355.2","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","354.4","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8","329.8"
"1986:Q1","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","362.4","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","361.7","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6","336.6"
"1986:Q2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","375.2","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","374.4","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5","348.5"
"1986:Q3","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","406.4","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2","378.2"
"1986:Q4","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","400.7","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","399.9","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2","372.2"
"1987:Q1","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","377.0","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","376.2","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1","350.1"
"1987:Q2","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","392.4","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","391.6","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5","364.5"
"1987:Q3","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","408.7","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","407.8","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5","379.5"
"1987:Q4","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","397.7","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","396.8","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3","369.3"
"1988:Q1","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","416.5","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","415.6","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8","386.8"
"1988:Q2","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","416.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9","386.9"
"1988:Q3","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","411.2","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","410.3","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8","381.8"
"1988:Q4","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","421.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","420.9","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7"
"1989:Q1","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","419.1","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0","390.0"
"1989:Q2","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","425.6","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","424.7","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2","395.2"
"1989:Q3","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","435.2","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","434.3","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1","404.1"
"1989:Q4","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","422.0","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","421.1","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9","391.9"
"1990:Q1","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","438.8","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4"
"1990:Q2","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","425.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","424.3","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9","394.9"
"1990:Q3","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","421.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","420.0","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9","390.9"
"1990:Q4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","409.4","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","408.5","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1","380.1"
"1991:Q1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","398.1","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","397.2","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7","369.7"
"1991:Q2","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","400.1","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","399.2","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5"
"1991:Q3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","406.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2","377.2"
"1991:Q4","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","399.6","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","398.7","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1","371.1"
"1992:Q1","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","415.3","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","414.4","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6","385.6"
"1992:Q2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","418.2","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","417.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3","388.3"
"1992:Q3","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","427.1","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","426.2","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6","396.6"
"1992:Q4","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","435.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","434.6","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5","404.5"
"1993:Q1","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","439.8","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","438.9","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4","408.4"
