"DATE","RINVRESID10M1","RINVRESID10M2","RINVRESID10M3","RINVRESID10M4","RINVRESID10M5","RINVRESID10M6","RINVRESID10M7","RINVRESID10M8","RINVRESID10M9","RINVRESID10M10","RINVRESID10M11","RINVRESID10M12","RINVRESID11M1","RINVRESID11M2","RINVRESID11M3","RINVRESID11M4","RINVRESID11M5","RINVRESID11M6","RINVRESID11M7","RINVRESID11M8","RINVRESID11M9","RINVRESID11M10","RINVRESID11M11","RINVRESID11M12","RINVRESID12M1","RINVRESID12M2","RINVRESID12M3","RINVRESID12M4","RINVRESID12M5","RINVRESID12M6","RINVRESID12M7","RINVRESID12M8","RINVRESID12M9","RINVRESID12M10","RINVRESID12M11","RINVRESID12M12","RINVRESID13M1","RINVRESID13M2","RINVRESID13M3","RINVRESID13M4","RINVRESID13M5","RINVRESID13M6","RINVRESID13M7","RINVRESID13M8","RINVRESID13M9","RINVRESID13M10","RINVRESID13M11","RINVRESID13M12","RINVRESID14M1","RINVRESID14M2","RINVRESID14M3","RINVRESID14M4","RINVRESID14M5","RINVRESID14M6","RINVRESID14M7","RINVRESID14M8","RINVRESID14M9","RINVRESID14M10","RINVRESID14M11","RINVRESID14M12","RINVRESID15M1","RINVRESID15M2","RINVRESID15M3","RINVRESID15M4","RINVRESID15M5","RINVRESID15M6","RINVRESID15M7","RINVRESID15M8","RINVRESID15M9","RINVRESID15M10","RINVRESID15M11"
"1952:Q1","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","150.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0","156.0"
"1952:Q2","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.7","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","152.8","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9","158.9"
"1952:Q3","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3","157.3"
"1952:Q4","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","159.3","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8"
"1953:Q1","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5","168.5"
"1953:Q2","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","162.3","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1","169.1"
"1953:Q3","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","156.1","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7","162.7"
"1953:Q4","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","154.8","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4","161.4"
"1954:Q1","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","156.4","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2","163.2"
"1954:Q2","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.5","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","166.6","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8","173.8"
