"DATE","NOUTPUT10M1","NOUTPUT10M2","NOUTPUT10M3","NOUTPUT10M4","NOUTPUT10M5","NOUTPUT10M6","NOUTPUT10M7","NOUTPUT10M8","NOUTPUT10M9","NOUTPUT10M10","NOUTPUT10M11","NOUTPUT10M12","NOUTPUT11M1","NOUTPUT11M2","NOUTPUT11M3","NOUTPUT11M4","NOUTPUT11M5","NOUTPUT11M6","NOUTPUT11M7","NOUTPUT11M8","NOUTPUT11M9","NOUTPUT11M10","NOUTPUT11M11","NOUTPUT11M12","NOUTPUT12M1","NOUTPUT12M2","NOUTPUT12M3","NOUTPUT12M4","NOUTPUT12M5","NOUTPUT12M6","NOUTPUT12M7","NOUTPUT12M8","NOUTPUT12M9","NOUTPUT12M10","NOUTPUT12M11","NOUTPUT12M12","NOUTPUT13M1","NOUTPUT13M2","NOUTPUT13M3","NOUTPUT13M4","NOUTPUT13M5","NOUTPUT13M6","NOUTPUT13M7","NOUTPUT13M8","NOUTPUT13M9","NOUTPUT13M10","NOUTPUT13M11","NOUTPUT13M12","NOUTPUT14M1","NOUTPUT14M2","NOUTPUT14M3","NOUTPUT14M4","NOUTPUT14M5","NOUTPUT14M6","NOUTPUT14M7","NOUTPUT14M8","NOUTPUT14M9","NOUTPUT14M10","NOUTPUT14M11","NOUTPUT14M12","NOUTPUT15M1","NOUTPUT15M2","NOUTPUT15M3","NOUTPUT15M4","NOUTPUT15M5","NOUTPUT15M6","NOUTPUT15M7","NOUTPUT15M8","NOUTPUT15M9","NOUTPUT15M10","NOUTPUT15M11"
"2008:Q3","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14484.9","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14395.1","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14844.3","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0","14843.0"
"2008:Q4","14347.3","14347.3","14347.3","14347.3","14347.3","14347.3","14347.3","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14191.2","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14081.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14546.7","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9","14549.9"
"2009:Q1","14178.0","14178.0","14178.0","14178.0","14178.0","14178.0","14178.0","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","14049.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13893.7","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","13923.4","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14381.2","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9","14383.9"
"2009:Q2","14151.2","14151.2","14151.2","14151.2","14151.2","14151.2","14151.2","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","14034.5","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13854.1","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","13885.4","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14342.1","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4","14340.4"
"2009:Q3","14242.1","14242.1","14242.1","14242.1","14242.1","14242.1","14242.1","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","14114.7","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13920.5","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","13952.2","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.4","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1","14384.1"
"2009:Q4","#N/A","14463.4","14461.7","14453.8","14453.8","14453.8","14453.8","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14277.3","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14087.4","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14133.6","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14564.1","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5","14566.5"
"2010:Q1","#N/A","#N/A","#N/A","#N/A","14601.4","14601.4","14592.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14446.4","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14277.9","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14270.3","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14672.5","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1","14681.1"
"2010:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14597.7","14575.0","14578.7","14578.7","14578.7","14578.7","14578.7","14578.7","14578.7","14578.7","14578.7","14578.7","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14467.8","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14413.5","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14879.2","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6","14888.6"
"2010:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14730.2","14750.2","14745.1","14745.1","14745.1","14745.1","14745.1","14745.1","14745.1","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14605.5","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","14576.0","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15049.8","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7","15057.7"
"2010:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","14870.4","14861.0","14871.4","14871.4","14871.4","14871.4","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14755.0","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","14735.9","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15231.7","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2","15230.2"
"2011:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","15006.4","15010.3","15018.1","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14867.8","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","14814.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15242.9","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4","15238.4"
