"DATE","RNX10M1","RNX10M2","RNX10M3","RNX10M4","RNX10M5","RNX10M6","RNX10M7","RNX10M8","RNX10M9","RNX10M10","RNX10M11","RNX10M12","RNX11M1","RNX11M2","RNX11M3","RNX11M4","RNX11M5","RNX11M6","RNX11M7","RNX11M8","RNX11M9","RNX11M10","RNX11M11","RNX11M12","RNX12M1","RNX12M2","RNX12M3","RNX12M4","RNX12M5","RNX12M6","RNX12M7","RNX12M8","RNX12M9","RNX12M10","RNX12M11","RNX12M12","RNX13M1","RNX13M2","RNX13M3","RNX13M4","RNX13M5","RNX13M6","RNX13M7","RNX13M8","RNX13M9","RNX13M10","RNX13M11","RNX13M12","RNX14M1","RNX14M2","RNX14M3","RNX14M4","RNX14M5","RNX14M6","RNX14M7","RNX14M8","RNX14M9","RNX14M10","RNX14M11","RNX14M12","RNX15M1","RNX15M2","RNX15M3","RNX15M4","RNX15M5","RNX15M6","RNX15M7","RNX15M8","RNX15M9","RNX15M10","RNX15M11"
"1977:Q4","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.6","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-78.5","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-87.3","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9","-84.9"
"1978:Q1","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-95.0","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-105.2","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6","-102.6"
"1978:Q2","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.7","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-68.6","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-77.2","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5","-74.5"
"1978:Q3","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.2","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-70.1","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-78.8","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1","-76.1"
"1978:Q4","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-71.7","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0","-69.0"
"1979:Q1","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.3","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-62.2","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-70.4","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6","-67.6"
"1979:Q2","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.5","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-63.4","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-71.6","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8","-68.8"
"1979:Q3","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.6","-46.6","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-53.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9","-50.9"
"1979:Q4","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.7","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-34.6","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-41.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1","-38.1"
"1980:Q1","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-25.5","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3","-28.3"
