"DATE","RNX10M1","RNX10M2","RNX10M3","RNX10M4","RNX10M5","RNX10M6","RNX10M7","RNX10M8","RNX10M9","RNX10M10","RNX10M11","RNX10M12","RNX11M1","RNX11M2","RNX11M3","RNX11M4","RNX11M5","RNX11M6","RNX11M7","RNX11M8","RNX11M9","RNX11M10","RNX11M11","RNX11M12","RNX12M1","RNX12M2","RNX12M3","RNX12M4","RNX12M5","RNX12M6","RNX12M7","RNX12M8","RNX12M9","RNX12M10","RNX12M11","RNX12M12","RNX13M1","RNX13M2","RNX13M3","RNX13M4","RNX13M5","RNX13M6","RNX13M7","RNX13M8","RNX13M9","RNX13M10","RNX13M11","RNX13M12","RNX14M1","RNX14M2","RNX14M3","RNX14M4","RNX14M5","RNX14M6","RNX14M7","RNX14M8","RNX14M9","RNX14M10","RNX14M11","RNX14M12","RNX15M1","RNX15M2","RNX15M3","RNX15M4","RNX15M5","RNX15M6","RNX15M7","RNX15M8","RNX15M9","RNX15M10","RNX15M11"
"1989:Q4","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.9","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-92.8","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-102.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7","-97.7"
"1990:Q1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.1","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-89.0","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-98.9","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6"
"1990:Q2","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-80.0","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-79.9","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-89.8","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5","-84.5"
"1990:Q3","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.8","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-72.7","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6","-76.6"
"1990:Q4","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-49.6","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-56.9","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5","-51.5"
"1991:Q1","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.8","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-37.7","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-44.8","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4","-39.4"
"1991:Q2","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-27.3","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-33.4","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9","-27.9"
"1991:Q3","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-31.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-37.4","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7"
"1991:Q4","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-31.6","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1","-32.1"
"1992:Q1","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-24.9","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-30.5","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6","-24.6"
"1992:Q2","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-36.3","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-42.5","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7","-36.7"
"1992:Q3","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-32.9","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-39.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3","-33.3"
"1992:Q4","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.6","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.7","-46.6","-46.6","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-54.2","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1","-48.1"
"1993:Q1","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.2","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-61.1","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-69.7","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6","-63.6"
"1993:Q2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.2","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-68.3","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-77.6","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4","-71.4"
"1993:Q3","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-80.7","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3","-84.3"
"1993:Q4","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-89.7","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-100.1","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6","-93.6"
"1994:Q1","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.8","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4","-106.4"
"1994:Q2","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-108.6","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-119.9","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0","-113.0"
"1994:Q3","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-104.1","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-115.8","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7","-108.7"
"1994:Q4","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-111.7","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-123.3","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0","-116.0"
"1995:Q1","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-117.0","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-128.3","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8","-120.8"
"1995:Q2","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.7","-114.6","-114.6","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-125.5","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0","-118.0"
"1995:Q3","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-82.0","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-81.9","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-90.7","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9","-82.9"
"1995:Q4","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.5","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.6","-81.5","-81.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-90.5","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6","-82.6"
"1996:Q1","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.7","-101.6","-101.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-112.6","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5","-104.5"
"1996:Q2","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-108.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-120.9","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7","-112.7"
"1996:Q3","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.4","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-134.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-148.3","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0","-140.0"
"1996:Q4","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-97.9","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-98.0","-97.9","-97.9","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-109.8","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0","-101.0"
"1997:Q1","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-125.0","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-138.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9","-129.9"
"1997:Q2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-123.2","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-136.8","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6","-127.6"
"1997:Q3","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.8","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-141.7","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-156.8","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4","-147.4"
"1997:Q4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.4","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-169.3","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-185.9","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4","-176.4"
"1998:Q1","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.9","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.8","-209.9","-209.9","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-229.7","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1","-220.1"
"1998:Q2","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.9","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-250.8","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4","-263.4"
"1998:Q3","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-273.2","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-272.9","-273.0","-273.0","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-296.9","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2","-287.2"
"1998:Q4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.4","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-276.3","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-301.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2","-291.2"
