"DATE","PCONGM09M8","PCONGM09M9","PCONGM09M10","PCONGM09M11","PCONGM09M12","PCONGM10M1","PCONGM10M2","PCONGM10M3","PCONGM10M4","PCONGM10M5","PCONGM10M6","PCONGM10M7","PCONGM10M8","PCONGM10M9","PCONGM10M10","PCONGM10M11","PCONGM10M12","PCONGM11M1","PCONGM11M2","PCONGM11M3","PCONGM11M4","PCONGM11M5","PCONGM11M6","PCONGM11M7","PCONGM11M8","PCONGM11M9","PCONGM11M10","PCONGM11M11","PCONGM11M12","PCONGM12M1","PCONGM12M2","PCONGM12M3","PCONGM12M4","PCONGM12M5","PCONGM12M6","PCONGM12M7","PCONGM12M8","PCONGM12M9","PCONGM12M10","PCONGM12M11","PCONGM12M12","PCONGM13M1","PCONGM13M2","PCONGM13M3","PCONGM13M4","PCONGM13M5","PCONGM13M6","PCONGM13M7","PCONGM13M8","PCONGM13M9","PCONGM13M10","PCONGM13M11","PCONGM13M12","PCONGM14M1","PCONGM14M2","PCONGM14M3","PCONGM14M4","PCONGM14M5","PCONGM14M6","PCONGM14M7","PCONGM14M8","PCONGM14M9","PCONGM14M10","PCONGM14M11","PCONGM14M12","PCONGM15M1","PCONGM15M2","PCONGM15M3","PCONGM15M4","PCONGM15M5","PCONGM15M6","PCONGM15M7","PCONGM15M8","PCONGM15M9","PCONGM15M10","PCONGM15M11"
"2008:01","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.483","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.452","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","105.138","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545","101.545"
"2008:02","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.607","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.584","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","105.299","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722","101.722"
"2008:03","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.976","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.975","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","105.631","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94","101.94"
"2008:04","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.043","106.159","106.159","106.159","106.159","106.159","106.159","106.159","106.159","106.159","106.159","106.159","106.159","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","105.897","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092","102.092"
"2008:05","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.629","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","106.343","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652","102.652"
"2008:06","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.647","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.999","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","107.589","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102","104.102"
"2008:07","108.53","108.53","108.53","108.53","108.53","108.53","108.53","108.53","108.53","108.53","108.53","108.53","109.05","109.05","109.05","109.05","109.05","109.05","109.05","109.05","109.05","109.05","109.05","109.05","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","108.726","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92","104.92"
"2008:08","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.325","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.595","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","108.232","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477","104.477"
"2008:09","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.497","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.776","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","108.352","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656","104.656"
"2008:10","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.823","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.837","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","106.502","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993","102.993"
